,model,tmscore
0,af3_jian_0,0.556
1,af3_jian_1,0.584
2,af3_jian_2,0.554
3,af3_jian_3,0.559
4,af3_jian_4,0.545
5,af3_jian_5,0.543
6,af3_jian_6,0.579
7,af3_jian_7,0.545
8,af3_jian_8,0.544
9,af3_jian_9,0.611
10,af3_pawan_0,0.544
11,af3_pawan_1,0.535
12,af3_pawan_2,0.559
13,af3_pawan_3,0.551
14,af3_pawan_4,0.547
15,af3_pawan_5,0.533
16,af3_pawan_6,0.554
17,af3_pawan_7,0.544
18,af3_pawan_8,0.541
19,af3_pawan_9,0.58
20,afsample_v1_0,0.433
21,afsample_v1_1,0.437
22,afsample_v1_2,0.441
23,afsample_v1_3,0.444
24,afsample_v1_4,0.427
25,afsample_v1_not_0,0.431
26,afsample_v1_not_1,0.435
27,afsample_v1_not_2,0.469
28,afsample_v1_not_3,0.443
29,afsample_v1_not_4,0.457
30,afsample_v1_r21_not_0,0.427
31,afsample_v1_r21_not_1,0.425
32,afsample_v1_r21_not_2,0.424
33,afsample_v1_r21_not_3,0.422
34,afsample_v1_r21_not_4,0.426
35,afsample_v2_0,0.354
36,afsample_v2_1,0.354
37,afsample_v2_2,0.363
38,afsample_v2_3,0.361
39,afsample_v2_4,0.359
40,afsample_v2_not_0,0.354
41,afsample_v2_not_1,0.358
42,afsample_v2_not_2,0.365
43,afsample_v2_not_3,0.347
44,afsample_v2_not_4,0.357
45,afsample_v2_r21_not_0,0.332
46,afsample_v2_r21_not_1,0.327
47,afsample_v2_r21_not_2,0.34
48,afsample_v2_r21_not_3,0.327
49,afsample_v2_r21_not_4,0.329
50,deepmsa2_0_0,0.332
51,deepmsa2_0_1,0.347
52,deepmsa2_0_2,0.334
53,deepmsa2_0_3,0.338
54,deepmsa2_0_4,0.341
55,deepmsa2_1_0,0.341
56,deepmsa2_1_1,0.355
57,deepmsa2_1_2,0.355
58,deepmsa2_1_3,0.336
59,deepmsa2_1_4,0.349
60,deepmsa2_2_0,0.332
61,deepmsa2_2_1,0.542
62,deepmsa2_2_2,0.34
63,deepmsa2_2_3,0.334
64,deepmsa2_2_4,0.338
65,deepmsa2_3_0,0.351
66,deepmsa2_3_1,0.339
67,deepmsa2_3_2,0.351
68,deepmsa2_3_3,0.327
69,deepmsa2_3_4,0.345
70,deepmsa2_4_0,0.331
71,deepmsa2_4_1,0.331
72,deepmsa2_4_2,0.331
73,deepmsa2_4_3,0.329
74,deepmsa2_4_4,0.334
75,deepmsa2_5_0,0.329
76,deepmsa2_5_1,0.335
77,deepmsa2_5_2,0.331
