,model,tmscore
0,af3_jian_0,0.544
1,af3_jian_1,0.628
2,af3_jian_2,0.565
3,af3_jian_3,0.561
4,af3_jian_4,0.549
5,af3_jian_5,0.585
6,af3_jian_6,0.594
7,af3_jian_7,0.564
8,af3_jian_8,0.56
9,af3_jian_9,0.651
10,af3_pawan_0,0.573
11,af3_pawan_1,0.567
12,af3_pawan_2,0.58
13,af3_pawan_3,0.581
14,af3_pawan_4,0.571
15,af3_pawan_5,0.592
16,af3_pawan_6,0.588
17,af3_pawan_7,0.585
18,af3_pawan_8,0.58
19,af3_pawan_9,0.589
20,afsample_v1_0,0.583
21,afsample_v1_1,0.577
22,afsample_v1_2,0.577
23,afsample_v1_3,0.573
24,afsample_v1_4,0.567
25,afsample_v1_not_0,0.578
26,afsample_v1_not_1,0.575
27,afsample_v1_not_2,0.563
28,afsample_v1_not_3,0.568
29,afsample_v1_not_4,0.577
30,afsample_v1_r21_not_0,0.57
31,afsample_v1_r21_not_1,0.566
32,afsample_v1_r21_not_2,0.571
33,afsample_v1_r21_not_3,0.564
34,afsample_v1_r21_not_4,0.576
35,afsample_v2_0,0.6
36,afsample_v2_1,0.591
37,afsample_v2_2,0.612
38,afsample_v2_3,0.589
39,afsample_v2_4,0.601
40,afsample_v2_not_0,0.599
41,afsample_v2_not_1,0.597
42,afsample_v2_not_2,0.611
43,afsample_v2_not_3,0.589
44,afsample_v2_not_4,0.616
45,afsample_v2_r21_not_0,0.59
46,afsample_v2_r21_not_1,0.584
47,afsample_v2_r21_not_2,0.599
48,afsample_v2_r21_not_3,0.59
49,afsample_v2_r21_not_4,0.594
50,deepmsa2_0_0,0.59
51,deepmsa2_0_1,0.602
52,deepmsa2_0_2,0.584
53,deepmsa2_0_3,0.585
54,deepmsa2_0_4,0.593
55,deepmsa2_1_0,0.597
56,deepmsa2_1_1,0.604
57,deepmsa2_1_2,0.618
58,deepmsa2_1_3,0.58
59,deepmsa2_1_4,0.603
60,deepmsa2_2_0,0.547
61,deepmsa2_2_1,0.497
62,deepmsa2_2_2,0.594
63,deepmsa2_2_3,0.587
64,deepmsa2_2_4,0.583
65,deepmsa2_3_0,0.601
66,deepmsa2_3_1,0.59
67,deepmsa2_3_2,0.605
68,deepmsa2_3_3,0.571
69,deepmsa2_3_4,0.596
70,deepmsa2_4_0,0.547
71,deepmsa2_4_1,0.544
72,deepmsa2_4_2,0.546
73,deepmsa2_4_3,0.538
74,deepmsa2_4_4,0.595
75,deepmsa2_5_0,0.549
76,deepmsa2_5_1,0.564
77,deepmsa2_5_2,0.544
78,deepmsa2_5_3,0.55
79,deepmsa2_5_4,0.571
80,deepmsa2_6_0,0.557
81,deepmsa2_6_1,0.554
82,deepmsa2_6_2,0.548
83,deepmsa2_6_3,0.573
84,deepmsa2_6_4,0.591
85,deepmsa2_7_0,0.543
86,deepmsa2_7_1,0.543
87,deepmsa2_7_2,0.543
88,deepmsa2_7_3,0.546
89,deepmsa2_7_4,0.544
90,def_mul_comp_0,0.565
91,def_mul_comp_1,0.563
92,def_mul_comp_2,0.562
93,def_mul_comp_3,0.564
94,def_mul_comp_4,0.567
95,def_mul_drop_nos_0,0.584
96,def_mul_drop_nos_1,0.597
97,def_mul_drop_nos_2,0.606
98,def_mul_drop_nos_3,0.608
99,def_mul_drop_nos_4,0.58
100,def_mul_drop_s_0,0.587
101,def_mul_drop_s_1,0.592
102,def_mul_drop_s_2,0.582
103,def_mul_drop_s_3,0.574
104,def_mul_drop_s_4,0.562
105,def_mul_esm_msa_0,0.559
106,def_mul_esm_msa_1,0.566
107,def_mul_esm_msa_2,0.566
108,def_mul_esm_msa_3,0.602
109,def_mul_esm_msa_4,0.598
110,def_mul_nopair_0,0.596
111,def_mul_nopair_1,0.586
112,def_mul_nopair_2,0.578
113,def_mul_nopair_3,0.559
114,def_mul_nopair_4,0.599
115,def_mul_not_drop_nos_0,0.563
116,def_mul_not_drop_nos_1,0.537
117,def_mul_not_drop_nos_2,0.56
118,def_mul_not_drop_nos_3,0.566
119,def_mul_not_drop_nos_4,0.653
120,def_mul_not_drop_s_0,0.552
121,def_mul_not_drop_s_1,0.579
122,def_mul_not_drop_s_2,0.559
123,def_mul_not_drop_s_3,0.561
124,def_mul_not_drop_s_4,0.567
125,def_mul_notemp_0,0.557
126,def_mul_notemp_1,0.533
127,def_mul_notemp_2,0.563
128,def_mul_notemp_3,0.555
129,def_mul_notemp_4,0.567
130,def_mul_pdb_0,0.551
131,def_mul_pdb_1,0.569
132,def_mul_pdb_2,0.563
133,def_mul_pdb_3,0.55
134,def_mul_pdb_4,0.567
135,def_mul_pdb70_0,0.583
136,def_mul_pdb70_1,0.554
137,def_mul_pdb70_2,0.567
138,def_mul_pdb70_3,0.566
139,def_mul_pdb70_4,0.569
140,def_mul_struct_0,0.583
141,def_mul_struct_1,0.561
142,def_mul_struct_2,0.588
143,def_mul_struct_3,0.563
144,def_mul_struct_4,0.581
145,default_multimer_0,0.59
146,default_multimer_1,0.566
147,default_multimer_2,0.562
148,default_multimer_3,0.576
149,default_multimer_4,0.588
150,folds_iter_1_0,0.566
151,folds_iter_1_1,0.567
152,folds_iter_1_2,0.566
153,folds_iter_1_3,0.56
154,folds_iter_1_4,0.558
155,folds_iter_2_0,0.556
156,folds_iter_2_1,0.564
157,folds_iter_2_2,0.548
158,folds_iter_2_3,0.594
159,folds_iter_2_4,0.588
160,folds_iter_esm_1_0,0.599
161,folds_iter_esm_1_1,0.582
162,folds_iter_esm_1_2,0.57
163,folds_iter_esm_1_3,0.593
164,folds_iter_esm_1_4,0.561
165,folds_iter_esm_2_0,0.592
166,folds_iter_esm_2_1,0.582
167,folds_iter_esm_2_2,0.596
168,folds_iter_esm_2_3,0.607
169,folds_iter_esm_2_4,0.614
170,folds_iter_esm_nop_1_0,0.603
171,folds_iter_esm_nop_1_1,0.613
172,folds_iter_esm_nop_1_2,0.592
173,folds_iter_esm_nop_1_3,0.579
174,folds_iter_esm_nop_1_4,0.595
175,folds_iter_esm_nop_2_0,0.596
176,folds_iter_esm_nop_2_1,0.577
177,folds_iter_esm_nop_2_2,0.599
178,folds_iter_esm_nop_2_3,0.602
179,folds_iter_esm_nop_2_4,0.595
180,folds_iter_esm_not_1_0,0.608
181,folds_iter_esm_not_1_1,0.613
182,folds_iter_esm_not_1_2,0.624
183,folds_iter_esm_not_1_3,0.628
184,folds_iter_esm_not_1_4,0.609
185,folds_iter_esm_not_2_0,0.678
186,folds_iter_esm_not_2_1,0.567
187,folds_iter_esm_not_2_2,0.559
188,folds_iter_esm_not_2_3,0.579
189,folds_iter_esm_not_2_4,0.567
190,folds_iter_esm_notp_1_0,0.652
191,folds_iter_esm_notp_1_1,0.614
192,folds_iter_esm_notp_1_2,0.615
193,folds_iter_esm_notp_1_3,0.616
194,folds_iter_esm_notp_1_4,0.618
195,folds_iter_esm_notp_2_0,0.576
196,folds_iter_esm_notp_2_1,0.577
197,folds_iter_esm_notp_2_2,0.58
198,folds_iter_esm_notp_2_3,0.575
199,folds_iter_esm_notp_2_4,0.653
200,folds_iter_nop_1_0,0.576
201,folds_iter_nop_1_1,0.553
202,folds_iter_nop_1_2,0.554
203,folds_iter_nop_1_3,0.552
204,folds_iter_nop_1_4,0.556
205,folds_iter_nop_2_0,0.56
206,folds_iter_nop_2_1,0.567
207,folds_iter_nop_2_2,0.564
208,folds_iter_nop_2_3,0.575
209,folds_iter_nop_2_4,0.596
210,folds_iter_not_1_0,0.58
211,folds_iter_not_1_1,0.559
212,folds_iter_not_1_2,0.562
213,folds_iter_not_1_3,0.588
214,folds_iter_not_1_4,0.57
215,folds_iter_not_2_0,0.56
216,folds_iter_not_2_1,0.556
217,folds_iter_not_2_2,0.563
218,folds_iter_not_2_3,0.562
219,folds_iter_not_2_4,0.567
220,folds_iter_notp_1_0,0.644
221,folds_iter_notp_1_1,0.557
222,folds_iter_notp_1_2,0.556
223,folds_iter_notp_1_3,0.554
224,folds_iter_notp_1_4,0.597
225,folds_iter_notp_2_0,0.558
226,folds_iter_notp_2_1,0.572
227,folds_iter_notp_2_2,0.567
228,folds_iter_notp_2_3,0.572
229,folds_iter_notp_2_4,0.564
230,pdb_inter_prot_sto_0,0.591
231,pdb_inter_prot_sto_1,0.591
232,pdb_inter_prot_sto_2,0.575
233,pdb_inter_prot_sto_3,0.579
234,pdb_inter_prot_sto_4,0.574
