,model,tmscore
0,af3_jian_0,0.256
1,af3_jian_1,0.278
2,af3_jian_2,0.261
3,af3_jian_3,0.312
4,af3_jian_4,0.278
5,af3_jian_5,0.28
6,af3_jian_6,0.249
7,af3_jian_7,0.282
8,af3_jian_8,0.274
9,af3_jian_9,0.266
10,af3_pawan_0,0.272
11,af3_pawan_1,0.285
12,af3_pawan_2,0.311
13,af3_pawan_3,0.312
14,af3_pawan_4,0.295
15,af3_pawan_5,0.341
16,af3_pawan_6,0.288
17,af3_pawan_7,0.335
18,af3_pawan_8,0.309
19,af3_pawan_9,0.323
20,afsample_v1_0,0.088
21,afsample_v1_1,0.0
22,afsample_v1_2,0.01
23,afsample_v1_3,0.002
24,afsample_v1_4,0.052
25,afsample_v1_not_0,0.219
26,afsample_v1_not_1,0.105
27,afsample_v1_not_2,0.06
28,afsample_v1_not_3,0.01
29,afsample_v1_not_4,0.0
30,afsample_v1_r21_not_0,0.312
31,afsample_v1_r21_not_1,0.252
32,afsample_v1_r21_not_2,0.327
33,afsample_v1_r21_not_3,0.263
34,afsample_v1_r21_not_4,0.331
35,afsample_v2_0,0.0
36,afsample_v2_1,0.0
37,afsample_v2_2,0.0
38,afsample_v2_3,0.0
39,afsample_v2_4,0.0
40,afsample_v2_not_0,0.0
41,afsample_v2_not_1,0.008
42,afsample_v2_not_2,0.0
43,afsample_v2_not_3,0.012
44,afsample_v2_not_4,0.0
45,afsample_v2_r21_not_0,0.05
46,afsample_v2_r21_not_1,0.031
47,afsample_v2_r21_not_2,0.057
48,afsample_v2_r21_not_3,0.058
49,afsample_v2_r21_not_4,0.039
50,deepmsa2_0_0,0.333
51,deepmsa2_0_1,0.339
52,deepmsa2_0_2,0.33
53,deepmsa2_0_3,0.334
54,deepmsa2_0_4,0.323
55,deepmsa2_1_0,0.788
56,deepmsa2_1_1,0.334
57,deepmsa2_1_2,0.344
58,deepmsa2_1_3,0.333
59,deepmsa2_1_4,0.351
60,deepmsa2_2_0,0.353
61,deepmsa2_2_1,0.339
62,deepmsa2_2_2,0.315
63,deepmsa2_2_3,0.324
64,deepmsa2_2_4,0.314
65,deepmsa2_3_0,0.406
66,deepmsa2_3_1,0.343
67,deepmsa2_3_2,0.335
68,deepmsa2_3_3,0.339
69,deepmsa2_3_4,0.339
70,deepmsa2_4_0,0.336
71,deepmsa2_4_1,0.336
72,deepmsa2_4_2,0.343
73,deepmsa2_4_3,0.37
74,deepmsa2_4_4,0.41
75,def_mul_comp_0,0.39
76,def_mul_comp_1,0.358
77,def_mul_comp_2,0.334
78,def_mul_comp_3,0.354
79,def_mul_comp_4,0.345
80,def_mul_drop_nos_0,0.329
81,def_mul_drop_nos_1,0.339
82,def_mul_drop_nos_2,0.352
83,def_mul_drop_nos_3,0.329
84,def_mul_drop_nos_4,0.341
85,def_mul_drop_s_0,0.336
86,def_mul_drop_s_1,0.326
87,def_mul_drop_s_2,0.317
88,def_mul_drop_s_3,0.328
89,def_mul_drop_s_4,0.334
90,def_mul_esm_msa_0,0.343
91,def_mul_esm_msa_1,0.69
92,def_mul_esm_msa_2,0.386
93,def_mul_esm_msa_3,0.378
94,def_mul_esm_msa_4,0.343
95,def_mul_not_drop_nos_0,0.319
96,def_mul_not_drop_nos_1,0.354
97,def_mul_not_drop_nos_2,0.354
98,def_mul_not_drop_nos_3,0.344
99,def_mul_not_drop_nos_4,0.339
100,def_mul_not_drop_s_0,0.324
101,def_mul_not_drop_s_1,0.359
102,def_mul_not_drop_s_2,0.343
103,def_mul_not_drop_s_3,0.34
104,def_mul_not_drop_s_4,0.364
105,def_mul_notemp_0,0.35
106,def_mul_notemp_1,0.352
107,def_mul_notemp_2,0.369
108,def_mul_notemp_3,0.351
109,def_mul_notemp_4,0.358
110,def_mul_pdb_0,0.321
111,def_mul_pdb_1,0.427
112,def_mul_pdb_2,0.344
113,def_mul_pdb_3,0.394
114,def_mul_pdb_4,0.336
115,def_mul_pdb70_0,0.395
116,def_mul_pdb70_1,0.359
117,def_mul_pdb70_2,0.357
118,def_mul_pdb70_3,0.359
119,def_mul_pdb70_4,0.365
120,def_mul_struct_0,0.351
121,def_mul_struct_1,0.344
122,def_mul_struct_2,0.341
123,def_mul_struct_3,0.34
124,def_mul_struct_4,0.368
125,default_multimer_0,0.401
126,default_multimer_1,0.338
127,default_multimer_2,0.409
128,default_multimer_3,0.353
129,default_multimer_4,0.344
130,pdb_inter_prot_sto_0,0.0
131,pdb_inter_prot_sto_1,0.0
132,pdb_inter_prot_sto_2,0.0
133,pdb_inter_prot_sto_3,0.0
134,pdb_inter_prot_sto_4,0.0
135,pdb_inter_ref_a3m_0,0.323
136,pdb_inter_ref_a3m_1,0.375
137,pdb_inter_ref_a3m_2,0.361
138,pdb_inter_ref_a3m_3,0.352
139,pdb_inter_ref_a3m_4,0.366
140,pdb_inter_ref_sto_0,0.37
141,pdb_inter_ref_sto_1,0.351
142,pdb_inter_ref_sto_2,0.35
143,pdb_inter_ref_sto_3,0.354
144,pdb_inter_ref_sto_4,0.355
145,spec_comp_0,0.352
146,spec_comp_1,0.356
147,spec_comp_2,0.389
148,spec_comp_3,0.417
149,spec_comp_4,0.407
150,spec_inter_prot_sto_0,0.0
151,spec_inter_prot_sto_1,0.0
152,spec_inter_prot_sto_2,0.0
153,spec_inter_prot_sto_3,0.0
154,spec_inter_prot_sto_4,0.0
155,spec_inter_ref_a3m_0,0.345
156,spec_inter_ref_a3m_1,0.421
157,spec_inter_ref_a3m_2,0.42
158,spec_inter_ref_a3m_3,0.39
159,spec_inter_ref_a3m_4,0.331
160,spec_inter_ref_sto_0,0.357
161,spec_inter_ref_sto_1,0.372
162,spec_inter_ref_sto_2,0.354
163,spec_inter_ref_sto_3,0.354
164,spec_inter_ref_sto_4,0.354
165,spec_pdb_0,0.403
166,spec_pdb_1,0.374
167,spec_pdb_2,0.361
168,spec_pdb_3,0.389
169,spec_pdb_4,0.315
170,spec_pdb70_0,0.437
171,spec_pdb70_1,0.357
172,spec_pdb70_2,0.333
173,spec_pdb70_3,0.394
174,spec_pdb70_4,0.399
175,spec_struct_0,0.36
176,spec_struct_1,0.332
177,spec_struct_2,0.363
178,spec_struct_3,0.368
179,spec_struct_4,0.327
180,uniclust_ox_a3m_0,0.321
181,uniclust_ox_a3m_1,0.331
