,model,tmscore
0,af3_jian_0,0.875
1,af3_jian_1,0.868
2,af3_jian_2,0.864
3,af3_jian_3,0.87
4,af3_jian_4,0.872
5,af3_jian_5,0.87
6,af3_jian_6,0.87
7,af3_jian_7,0.862
8,af3_jian_8,0.868
9,af3_jian_9,0.878
10,af3_pawan_0,0.859
11,af3_pawan_1,0.871
12,af3_pawan_2,0.869
13,af3_pawan_3,0.87
14,af3_pawan_4,0.87
15,af3_pawan_5,0.88
16,af3_pawan_6,0.872
17,af3_pawan_7,0.866
18,af3_pawan_8,0.873
19,af3_pawan_9,0.863
20,afsample_v1_0,0.85
21,afsample_v1_1,0.845
22,afsample_v1_2,0.843
23,afsample_v1_3,0.843
24,afsample_v1_4,0.845
25,afsample_v1_not_0,0.85
26,afsample_v1_not_1,0.846
27,afsample_v1_not_2,0.845
28,afsample_v1_not_3,0.845
29,afsample_v1_not_4,0.844
30,afsample_v1_r21_not_0,0.852
31,afsample_v1_r21_not_1,0.851
32,afsample_v1_r21_not_2,0.851
33,afsample_v1_r21_not_3,0.85
34,afsample_v1_r21_not_4,0.851
35,afsample_v2_0,0.85
36,afsample_v2_1,0.849
37,afsample_v2_2,0.849
38,afsample_v2_3,0.849
39,afsample_v2_4,0.849
40,afsample_v2_not_0,0.85
41,afsample_v2_not_1,0.849
42,afsample_v2_not_2,0.85
43,afsample_v2_not_3,0.849
44,afsample_v2_not_4,0.849
45,afsample_v2_r21_not_0,0.846
46,afsample_v2_r21_not_1,0.846
47,afsample_v2_r21_not_2,0.847
48,afsample_v2_r21_not_3,0.847
49,afsample_v2_r21_not_4,0.848
50,deepmsa2_0_0,0.849
51,deepmsa2_0_1,0.847
52,deepmsa2_0_2,0.849
53,deepmsa2_0_3,0.849
54,deepmsa2_0_4,0.849
55,deepmsa2_1_0,0.85
56,deepmsa2_1_1,0.85
57,deepmsa2_1_2,0.849
58,deepmsa2_1_3,0.847
59,deepmsa2_1_4,0.85
60,deepmsa2_10_0,0.848
61,deepmsa2_10_1,0.848
