,model,tmscore
0,af3_jian_0,0.315
1,af3_jian_1,0.309
2,af3_jian_2,0.312
3,af3_jian_3,0.313
4,af3_jian_4,0.309
5,af3_jian_5,0.321
6,af3_jian_6,0.31
7,af3_jian_7,0.316
8,af3_jian_8,0.312
9,af3_jian_9,0.343
10,af3_pawan_0,0.293
11,af3_pawan_1,0.28
12,af3_pawan_2,0.281
13,af3_pawan_3,0.301
14,af3_pawan_4,0.324
15,af3_pawan_5,0.284
16,af3_pawan_6,0.306
17,af3_pawan_7,0.3
18,af3_pawan_8,0.33
19,af3_pawan_9,0.313
20,afsample_v1_0,0.193
21,afsample_v1_1,0.041
22,afsample_v1_2,0.038
23,afsample_v1_3,0.04
24,afsample_v1_4,0.168
25,afsample_v1_not_0,0.289
26,afsample_v1_not_1,0.184
27,afsample_v1_not_2,0.174
28,afsample_v1_not_3,0.038
29,afsample_v1_not_4,0.037
30,afsample_v1_r21_not_0,0.292
31,afsample_v1_r21_not_1,0.263
32,afsample_v1_r21_not_2,0.305
33,afsample_v1_r21_not_3,0.262
34,afsample_v1_r21_not_4,0.298
35,afsample_v2_0,0.003
36,afsample_v2_1,0.003
37,afsample_v2_2,0.003
38,afsample_v2_3,0.003
39,afsample_v2_4,0.017
40,afsample_v2_not_0,0.004
41,afsample_v2_not_1,0.035
42,afsample_v2_not_2,0.003
43,afsample_v2_not_3,0.025
44,afsample_v2_not_4,0.003
45,afsample_v2_r21_not_0,0.058
46,afsample_v2_r21_not_1,0.1
47,afsample_v2_r21_not_2,0.068
48,afsample_v2_r21_not_3,0.066
49,afsample_v2_r21_not_4,0.019
50,colabfold_casp16_web_0,0.006
51,colabfold_casp16_web_1,0.011
52,colabfold_casp16_web_2,0.027
53,colabfold_casp16_web_3,0.009
54,colabfold_casp16_web_4,0.009
55,colabfold_casp16_web_not_0,0.006
56,colabfold_casp16_web_not_1,0.008
57,colabfold_casp16_web_not_2,0.017
58,colabfold_casp16_web_not_3,0.023
59,colabfold_casp16_web_not_4,0.007
60,deepmsa2_0_0,0.137
61,deepmsa2_0_1,0.141
62,deepmsa2_0_2,0.339
63,deepmsa2_0_3,0.338
64,deepmsa2_0_4,0.237
65,deepmsa2_1_0,0.554
66,deepmsa2_1_1,0.239
67,deepmsa2_1_2,0.149
68,deepmsa2_1_3,0.207
69,deepmsa2_1_4,0.239
70,deepmsa2_10_0,0.143
71,deepmsa2_10_1,0.145
72,deepmsa2_10_2,0.248
73,deepmsa2_10_3,0.13
74,deepmsa2_10_4,0.023
75,deepmsa2_11_0,0.259
76,deepmsa2_11_1,0.219
77,deepmsa2_11_2,0.024
78,deepmsa2_11_3,0.014
79,deepmsa2_11_4,0.014
80,deepmsa2_12_0,0.216
81,deepmsa2_12_1,0.22
82,deepmsa2_12_2,0.021
83,deepmsa2_12_3,0.021
84,deepmsa2_12_4,0.015
85,deepmsa2_13_0,0.21
86,deepmsa2_13_1,0.196
87,deepmsa2_13_2,0.014
88,deepmsa2_13_3,0.014
89,deepmsa2_13_4,0.014
90,deepmsa2_14_0,0.014
91,deepmsa2_14_1,0.014
92,deepmsa2_14_2,0.014
93,deepmsa2_14_3,0.014
94,deepmsa2_14_4,0.014
95,deepmsa2_2_0,0.259
96,deepmsa2_2_1,0.263
97,deepmsa2_2_2,0.248
98,deepmsa2_2_3,0.24
99,deepmsa2_2_4,0.253
100,deepmsa2_3_0,0.317
101,deepmsa2_3_1,0.23
102,deepmsa2_3_2,0.234
103,deepmsa2_3_3,0.244
104,deepmsa2_3_4,0.212
105,deepmsa2_4_0,0.239
106,deepmsa2_4_1,0.242
107,deepmsa2_4_2,0.141
108,deepmsa2_4_3,0.247
109,deepmsa2_4_4,0.259
110,deepmsa2_5_0,0.226
111,deepmsa2_5_1,0.243
112,deepmsa2_5_2,0.327
113,deepmsa2_5_3,0.241
114,deepmsa2_5_4,0.138
115,deepmsa2_6_0,0.236
116,deepmsa2_6_1,0.249
117,deepmsa2_6_2,0.239
118,deepmsa2_6_3,0.137
119,deepmsa2_6_4,0.335
120,deepmsa2_7_0,0.238
121,deepmsa2_7_1,0.239
122,deepmsa2_7_2,0.184
123,deepmsa2_7_3,0.192
124,deepmsa2_7_4,0.111
125,deepmsa2_8_0,0.249
126,deepmsa2_8_1,0.228
127,deepmsa2_8_2,0.011
128,deepmsa2_8_3,0.423
129,deepmsa2_8_4,0.121
130,deepmsa2_9_0,0.015
131,deepmsa2_9_1,0.015
132,deepmsa2_9_2,0.015
133,deepmsa2_9_3,0.015
134,deepmsa2_9_4,0.024
135,def_mul_comp_0,0.278
136,def_mul_comp_1,0.149
137,def_mul_comp_2,0.216
138,def_mul_comp_3,0.265
139,def_mul_comp_4,0.27
140,def_mul_drop_nos_0,0.243
141,def_mul_drop_nos_1,0.221
142,def_mul_drop_nos_2,0.246
143,def_mul_drop_nos_3,0.222
144,def_mul_drop_nos_4,0.241
145,def_mul_drop_s_0,0.244
146,def_mul_drop_s_1,0.248
147,def_mul_drop_s_2,0.237
148,def_mul_drop_s_3,0.26
149,def_mul_drop_s_4,0.224
150,def_mul_esm_msa_0,0.246
151,def_mul_esm_msa_1,0.396
152,def_mul_esm_msa_2,0.206
153,def_mul_esm_msa_3,0.241
154,def_mul_esm_msa_4,0.224
155,def_mul_not_drop_nos_0,0.234
156,def_mul_not_drop_nos_1,0.265
157,def_mul_not_drop_nos_2,0.262
158,def_mul_not_drop_nos_3,0.245
159,def_mul_not_drop_nos_4,0.269
160,def_mul_not_drop_s_0,0.222
161,def_mul_not_drop_s_1,0.263
162,def_mul_not_drop_s_2,0.251
163,def_mul_not_drop_s_3,0.237
164,def_mul_not_drop_s_4,0.261
165,def_mul_notemp_0,0.276
166,def_mul_notemp_1,0.242
167,def_mul_notemp_2,0.29
168,def_mul_notemp_3,0.262
169,def_mul_notemp_4,0.147
170,def_mul_pdb_0,0.218
171,def_mul_pdb_1,0.237
172,def_mul_pdb_2,0.227
173,def_mul_pdb_3,0.263
174,def_mul_pdb_4,0.216
175,def_mul_pdb70_0,0.275
176,def_mul_pdb70_1,0.279
177,def_mul_pdb70_2,0.257
178,def_mul_pdb70_3,0.279
179,def_mul_pdb70_4,0.257
180,def_mul_struct_0,0.209
181,def_mul_struct_1,0.259
182,def_mul_struct_2,0.286
183,def_mul_struct_3,0.212
184,def_mul_struct_4,0.269
185,default_multimer_0,0.255
186,default_multimer_1,0.244
187,default_multimer_2,0.253
188,default_multimer_3,0.25
189,default_multimer_4,0.232
190,folds_iter_1_0,0.014
191,folds_iter_1_1,0.014
192,folds_iter_1_2,0.024
193,folds_iter_1_3,0.014
194,folds_iter_1_4,0.019
195,folds_iter_2_0,0.218
196,folds_iter_2_1,0.016
197,folds_iter_2_2,0.016
198,folds_iter_2_3,0.015
199,folds_iter_2_4,0.015
200,folds_iter_esm_1_0,0.014
201,folds_iter_esm_1_1,0.033
202,folds_iter_esm_1_2,0.031
203,folds_iter_esm_1_3,0.04
204,folds_iter_esm_1_4,0.038
205,folds_iter_esm_2_0,0.214
206,folds_iter_esm_2_1,0.014
207,folds_iter_esm_2_2,0.014
208,folds_iter_esm_2_3,0.015
209,folds_iter_esm_2_4,0.015
210,folds_iter_esm_not_1_0,0.026
211,folds_iter_esm_not_1_1,0.043
212,folds_iter_esm_not_1_2,0.014
213,folds_iter_esm_not_1_3,0.047
214,folds_iter_esm_not_1_4,0.004
215,folds_iter_esm_not_2_0,0.034
216,folds_iter_esm_not_2_1,0.014
217,folds_iter_esm_not_2_2,0.05
218,folds_iter_esm_not_2_3,0.016
219,folds_iter_esm_not_2_4,0.036
220,folds_iter_esm_o_1_0,0.224
221,folds_iter_esm_o_1_1,0.014
222,folds_iter_esm_o_1_2,0.031
223,folds_iter_esm_o_1_3,0.007
224,folds_iter_esm_o_1_4,0.038
225,folds_iter_esm_o_2_0,0.023
226,folds_iter_esm_o_2_1,0.015
227,folds_iter_esm_o_2_2,0.013
228,folds_iter_esm_o_2_3,0.014
229,folds_iter_esm_o_2_4,0.015
230,folds_iter_esm_o_not_1_0,0.037
231,folds_iter_esm_o_not_1_1,0.015
232,folds_iter_esm_o_not_1_2,0.013
233,folds_iter_esm_o_not_1_3,0.016
234,folds_iter_esm_o_not_1_4,0.049
235,folds_iter_esm_o_not_2_0,0.216
236,folds_iter_esm_o_not_2_1,0.027
237,folds_iter_esm_o_not_2_2,0.023
238,folds_iter_esm_o_not_2_3,0.015
239,folds_iter_esm_o_not_2_4,0.037
240,folds_iter_not_1_0,0.024
241,folds_iter_not_1_1,0.024
242,folds_iter_not_1_2,0.014
243,folds_iter_not_1_3,0.014
244,folds_iter_not_1_4,0.015
245,folds_iter_not_2_0,0.133
246,folds_iter_not_2_1,0.244
247,folds_iter_not_2_2,0.015
248,folds_iter_not_2_3,0.017
249,folds_iter_not_2_4,0.015
250,folds_iter_o_1_0,0.142
251,folds_iter_o_1_1,0.219
252,folds_iter_o_1_2,0.212
253,folds_iter_o_1_3,0.014
254,folds_iter_o_1_4,0.014
255,folds_iter_o_2_0,0.22
256,folds_iter_o_2_1,0.147
257,folds_iter_o_2_2,0.147
258,folds_iter_o_2_3,0.26
259,folds_iter_o_2_4,0.014
260,folds_iter_o_not_1_0,0.024
