,model,tmscore
0,afsample_v1_0,0.458
1,afsample_v1_1,0.473
2,afsample_v1_2,0.449
3,afsample_v1_3,0.446
4,afsample_v1_4,0.482
5,afsample_v1_not_0,0.462
6,afsample_v1_not_1,0.46
7,afsample_v1_not_2,0.458
8,afsample_v1_not_3,0.461
9,afsample_v1_not_4,0.45
10,afsample_v1_r21_not_0,0.502
11,afsample_v1_r21_not_1,0.48
12,afsample_v1_r21_not_2,0.478
13,afsample_v1_r21_not_3,0.478
14,afsample_v1_r21_not_4,0.499
15,afsample_v2_0,0.411
16,afsample_v2_1,0.399
17,afsample_v2_2,0.372
18,afsample_v2_3,0.388
19,afsample_v2_4,0.32
20,afsample_v2_not_0,0.409
21,afsample_v2_not_1,0.379
22,afsample_v2_not_2,0.393
23,afsample_v2_not_3,0.302
24,afsample_v2_not_4,0.403
25,afsample_v2_r21_not_0,0.39
26,afsample_v2_r21_not_1,0.393
27,afsample_v2_r21_not_2,0.399
28,afsample_v2_r21_not_3,0.377
29,afsample_v2_r21_not_4,0.368
30,deepmsa2_0_0,0.683
31,deepmsa2_0_1,0.698
32,deepmsa2_0_2,0.671
33,deepmsa2_0_3,0.694
34,deepmsa2_0_4,0.685
35,deepmsa2_1_0,0.689
36,deepmsa2_1_1,0.744
37,deepmsa2_1_2,0.684
38,deepmsa2_1_3,0.451
39,deepmsa2_1_4,0.755
40,deepmsa2_10_0,0.395
41,deepmsa2_10_1,0.381
42,deepmsa2_10_2,0.39
43,deepmsa2_10_3,0.387
44,deepmsa2_10_4,0.436
45,deepmsa2_11_0,0.396
46,deepmsa2_11_1,0.401
47,deepmsa2_11_2,0.51
48,deepmsa2_11_3,0.383
49,deepmsa2_11_4,0.447
50,deepmsa2_12_0,0.495
51,deepmsa2_12_1,0.506
52,deepmsa2_12_2,0.376
53,deepmsa2_12_3,0.387
54,deepmsa2_12_4,0.374
55,deepmsa2_13_0,0.449
56,deepmsa2_13_1,0.383
57,deepmsa2_13_2,0.371
58,deepmsa2_13_3,0.389
59,deepmsa2_13_4,0.468
60,deepmsa2_14_0,0.669
61,deepmsa2_14_1,0.37
62,deepmsa2_14_2,0.378
63,deepmsa2_14_3,0.377
64,deepmsa2_14_4,0.38
65,deepmsa2_2_0,0.751
66,deepmsa2_2_1,0.729
67,deepmsa2_2_2,0.654
68,deepmsa2_2_3,0.647
69,deepmsa2_2_4,0.711
70,deepmsa2_3_0,0.739
71,deepmsa2_3_1,0.738
72,deepmsa2_3_2,0.754
73,deepmsa2_3_3,0.659
74,deepmsa2_3_4,0.707
75,deepmsa2_4_0,0.747
76,deepmsa2_4_1,0.75
77,deepmsa2_4_2,0.672
78,deepmsa2_4_3,0.477
79,deepmsa2_4_4,0.718
80,deepmsa2_5_0,0.677
81,deepmsa2_5_1,0.71
82,deepmsa2_5_2,0.741
83,deepmsa2_5_3,0.758
84,deepmsa2_5_4,0.649
85,deepmsa2_6_0,0.707
86,deepmsa2_6_1,0.478
87,deepmsa2_6_2,0.759
88,deepmsa2_6_3,0.691
89,deepmsa2_6_4,0.657
90,deepmsa2_7_0,0.731
91,deepmsa2_7_1,0.72
92,deepmsa2_7_2,0.745
93,deepmsa2_7_3,0.677
94,deepmsa2_7_4,0.687
95,deepmsa2_8_0,0.66
96,deepmsa2_8_1,0.626
97,deepmsa2_8_2,0.725
98,deepmsa2_8_3,0.74
99,deepmsa2_8_4,0.685
100,deepmsa2_9_0,0.669
101,deepmsa2_9_1,0.631
102,deepmsa2_9_2,0.644
103,deepmsa2_9_3,0.662
104,deepmsa2_9_4,0.655
105,def_mul_comp_0,0.474
106,def_mul_comp_1,0.47
107,def_mul_comp_2,0.452
108,def_mul_comp_3,0.4
109,def_mul_comp_4,0.444
110,def_mul_drop_nos_0,0.433
111,def_mul_drop_nos_1,0.465
112,def_mul_drop_nos_2,0.41
113,def_mul_drop_nos_3,0.44
114,def_mul_drop_nos_4,0.427
115,def_mul_drop_s_0,0.437
116,def_mul_drop_s_1,0.415
117,def_mul_drop_s_2,0.443
118,def_mul_drop_s_3,0.431
119,def_mul_drop_s_4,0.437
120,def_mul_esm_msa_0,0.442
121,def_mul_esm_msa_1,0.433
122,def_mul_esm_msa_2,0.428
123,def_mul_esm_msa_3,0.428
124,def_mul_esm_msa_4,0.433
125,def_mul_not_drop_nos_0,0.012
126,def_mul_not_drop_nos_1,0.013
127,def_mul_not_drop_nos_2,0.012
128,def_mul_not_drop_nos_3,0.01
129,def_mul_not_drop_nos_4,0.012
130,def_mul_not_drop_s_0,0.015
131,def_mul_not_drop_s_1,0.012
132,def_mul_not_drop_s_2,0.012
133,def_mul_not_drop_s_3,0.011
134,def_mul_not_drop_s_4,0.012
135,def_mul_notemp_0,0.01
136,def_mul_notemp_1,0.008
137,def_mul_notemp_2,0.009
138,def_mul_notemp_3,0.012
139,def_mul_notemp_4,0.011
140,def_mul_pdb_0,0.452
141,def_mul_pdb_1,0.412
142,def_mul_pdb_2,0.416
