,model,tmscore
0,af3_jian_0,0.841
1,af3_jian_1,0.86
2,af3_jian_2,0.858
3,af3_jian_3,0.833
4,af3_jian_4,0.832
5,af3_jian_5,0.839
6,af3_jian_6,0.83
7,af3_jian_7,0.831
8,af3_jian_8,0.846
9,af3_jian_9,0.854
10,af3_pawan_0,0.832
11,af3_pawan_1,0.834
12,af3_pawan_2,0.839
13,af3_pawan_3,0.856
14,af3_pawan_4,0.855
15,af3_pawan_5,0.857
16,af3_pawan_6,0.86
17,af3_pawan_7,0.835
18,af3_pawan_8,0.852
19,af3_pawan_9,0.834
20,afsample_v1_0,0.851
21,afsample_v1_1,0.835
22,afsample_v1_2,0.844
23,afsample_v1_3,0.846
24,afsample_v1_4,0.846
25,afsample_v1_not_0,0.843
26,afsample_v1_not_1,0.846
27,afsample_v1_not_2,0.834
28,afsample_v1_not_3,0.838
29,afsample_v1_not_4,0.855
30,afsample_v1_r21_not_0,0.837
31,afsample_v1_r21_not_1,0.837
32,afsample_v1_r21_not_2,0.835
33,afsample_v1_r21_not_3,0.832
34,afsample_v1_r21_not_4,0.825
35,afsample_v2_0,0.839
36,afsample_v2_1,0.84
37,afsample_v2_2,0.843
38,afsample_v2_3,0.838
39,afsample_v2_4,0.847
40,afsample_v2_not_0,0.839
41,afsample_v2_not_1,0.85
42,afsample_v2_not_2,0.826
43,afsample_v2_not_3,0.844
44,afsample_v2_not_4,0.838
45,afsample_v2_r21_not_0,0.844
46,afsample_v2_r21_not_1,0.853
47,afsample_v2_r21_not_2,0.858
48,afsample_v2_r21_not_3,0.849
49,afsample_v2_r21_not_4,0.864
50,colabfold_casp16_web_0,0.836
51,colabfold_casp16_web_1,0.838
52,colabfold_casp16_web_2,0.838
53,colabfold_casp16_web_3,0.841
54,colabfold_casp16_web_4,0.841
55,colabfold_casp16_web_not_0,0.86
56,colabfold_casp16_web_not_1,0.824
57,colabfold_casp16_web_not_2,0.863
58,colabfold_casp16_web_not_3,0.841
59,colabfold_casp16_web_not_4,0.863
60,deepmsa2_0_0,0.842
61,deepmsa2_0_1,0.836
62,deepmsa2_0_2,0.865
63,deepmsa2_0_3,0.85
64,deepmsa2_0_4,0.851
65,deepmsa2_1_0,0.847
66,deepmsa2_1_1,0.847
67,deepmsa2_1_2,0.852
68,deepmsa2_1_3,0.849
69,deepmsa2_1_4,0.862
70,deepmsa2_2_0,0.836
71,deepmsa2_2_1,0.839
72,deepmsa2_2_2,0.844
73,deepmsa2_2_3,0.83
74,deepmsa2_2_4,0.836
75,deepmsa2_3_0,0.839
76,deepmsa2_3_1,0.836
77,deepmsa2_3_2,0.838
78,deepmsa2_3_3,0.842
79,deepmsa2_3_4,0.832
80,def_mul_comp_0,0.833
81,def_mul_comp_1,0.82
82,def_mul_comp_2,0.822
83,def_mul_comp_3,0.812
84,def_mul_comp_4,0.82
85,def_mul_drop_nos_0,0.852
86,def_mul_drop_nos_1,0.855
87,def_mul_drop_nos_2,0.841
88,def_mul_drop_nos_3,0.842
89,def_mul_drop_nos_4,0.846
90,def_mul_drop_s_0,0.839
91,def_mul_drop_s_1,0.838
92,def_mul_drop_s_2,0.833
93,def_mul_drop_s_3,0.839
94,def_mul_drop_s_4,0.842
95,def_mul_esm_msa_0,0.85
96,def_mul_esm_msa_1,0.85
97,def_mul_esm_msa_2,0.847
98,def_mul_esm_msa_3,0.841
99,def_mul_esm_msa_4,0.857
100,def_mul_not_drop_nos_0,0.853
101,def_mul_not_drop_nos_1,0.856
102,def_mul_not_drop_nos_2,0.865
103,def_mul_not_drop_nos_3,0.844
104,def_mul_not_drop_nos_4,0.842
105,def_mul_not_drop_s_0,0.858
106,def_mul_not_drop_s_1,0.838
107,def_mul_not_drop_s_2,0.867
108,def_mul_not_drop_s_3,0.848
109,def_mul_not_drop_s_4,0.847
110,def_mul_notemp_0,0.836
111,def_mul_notemp_1,0.844
112,def_mul_notemp_2,0.842
113,def_mul_notemp_3,0.847
114,def_mul_notemp_4,0.85
115,def_mul_pdb_0,0.824
116,def_mul_pdb_1,0.82
117,def_mul_pdb_2,0.809
118,def_mul_pdb_3,0.836
119,def_mul_pdb_4,0.829
120,def_mul_pdb70_0,0.844
121,def_mul_pdb70_1,0.848
122,def_mul_pdb70_2,0.842
123,def_mul_pdb70_3,0.854
124,def_mul_pdb70_4,0.847
125,def_mul_struct_0,0.836
126,def_mul_struct_1,0.828
127,def_mul_struct_2,0.829
128,def_mul_struct_3,0.836
129,def_mul_struct_4,0.828
130,default_multimer_0,0.849
131,default_multimer_1,0.844
132,default_multimer_2,0.853
133,default_multimer_3,0.848
134,default_multimer_4,0.829
135,folds_iter_1_0,0.836
136,folds_iter_1_1,0.837
137,folds_iter_1_2,0.835
138,folds_iter_1_3,0.833
139,folds_iter_1_4,0.831
140,folds_iter_2_0,0.819
141,folds_iter_2_1,0.828
142,folds_iter_2_2,0.84
143,folds_iter_2_3,0.829
144,folds_iter_2_4,0.829
145,folds_iter_esm_1_0,0.85
146,folds_iter_esm_1_1,0.838
147,folds_iter_esm_1_2,0.85
148,folds_iter_esm_1_3,0.854
149,folds_iter_esm_1_4,0.845
150,folds_iter_esm_2_0,0.851
151,folds_iter_esm_2_1,0.847
152,folds_iter_esm_2_2,0.851
153,folds_iter_esm_2_3,0.845
154,folds_iter_esm_2_4,0.851
155,folds_iter_esm_not_1_0,0.842
156,folds_iter_esm_not_1_1,0.839
157,folds_iter_esm_not_1_2,0.846
158,folds_iter_esm_not_1_3,0.829
159,folds_iter_esm_not_1_4,0.848
160,folds_iter_esm_not_2_0,0.839
161,folds_iter_esm_not_2_1,0.858
162,folds_iter_esm_not_2_2,0.841
163,folds_iter_esm_not_2_3,0.849
164,folds_iter_esm_not_2_4,0.841
165,folds_iter_esm_o_1_0,0.854
166,folds_iter_esm_o_1_1,0.845
167,folds_iter_esm_o_1_2,0.851
168,folds_iter_esm_o_1_3,0.842
169,folds_iter_esm_o_1_4,0.85
170,folds_iter_esm_o_2_0,0.839
171,folds_iter_esm_o_2_1,0.836
172,folds_iter_esm_o_2_2,0.857
173,folds_iter_esm_o_2_3,0.853
174,folds_iter_esm_o_2_4,0.835
175,folds_iter_esm_o_not_1_0,0.847
176,folds_iter_esm_o_not_1_1,0.855
177,folds_iter_esm_o_not_1_2,0.841
178,folds_iter_esm_o_not_1_3,0.838
179,folds_iter_esm_o_not_1_4,0.83
180,folds_iter_esm_o_not_2_0,0.842
181,folds_iter_esm_o_not_2_1,0.846
182,folds_iter_esm_o_not_2_2,0.832
183,folds_iter_esm_o_not_2_3,0.864
184,folds_iter_esm_o_not_2_4,0.835
185,folds_iter_not_1_0,0.838
186,folds_iter_not_1_1,0.842
187,folds_iter_not_1_2,0.838
188,folds_iter_not_1_3,0.844
189,folds_iter_not_1_4,0.838
190,folds_iter_not_2_0,0.842
191,folds_iter_not_2_1,0.841
192,folds_iter_not_2_2,0.835
193,folds_iter_not_2_3,0.858
194,folds_iter_not_2_4,0.838
195,folds_iter_o_1_0,0.837
196,folds_iter_o_1_1,0.824
197,folds_iter_o_1_2,0.828
198,folds_iter_o_1_3,0.825
199,folds_iter_o_1_4,0.845
200,folds_iter_o_2_0,0.833
201,folds_iter_o_2_1,0.837
202,folds_iter_o_2_2,0.844
203,folds_iter_o_2_3,0.829
204,folds_iter_o_2_4,0.833
205,folds_iter_o_not_1_0,0.836
206,folds_iter_o_not_1_1,0.841
207,folds_iter_o_not_1_2,0.842
208,folds_iter_o_not_1_3,0.842
209,folds_iter_o_not_1_4,0.841
210,folds_iter_o_not_2_0,0.839
211,folds_iter_o_not_2_1,0.849
212,folds_iter_o_not_2_2,0.83
213,folds_iter_o_not_2_3,0.832
214,folds_iter_o_not_2_4,0.846
215,pdb_inter_prot_sto_0,0.848
216,pdb_inter_prot_sto_1,0.852
217,pdb_inter_prot_sto_2,0.839
218,pdb_inter_prot_sto_3,0.846
219,pdb_inter_prot_sto_4,0.842
220,pdb_inter_ref_a3m_0,0.844
221,pdb_inter_ref_a3m_1,0.859
222,pdb_inter_ref_a3m_2,0.862
223,pdb_inter_ref_a3m_3,0.824
224,pdb_inter_ref_a3m_4,0.753
225,pdb_inter_ref_sto_0,0.842
226,pdb_inter_ref_sto_1,0.833
227,pdb_inter_ref_sto_2,0.839
228,pdb_inter_ref_sto_3,0.841
229,pdb_inter_ref_sto_4,0.838
230,spec_comp_0,0.722
231,spec_comp_1,0.714
232,spec_comp_2,0.822
233,spec_comp_3,0.737
234,spec_comp_4,0.83
235,spec_inter_prot_sto_0,0.869
236,spec_inter_prot_sto_1,0.842
237,spec_inter_prot_sto_2,0.844
238,spec_inter_prot_sto_3,0.846
239,spec_inter_prot_sto_4,0.846
240,spec_inter_ref_a3m_0,0.843
241,spec_inter_ref_a3m_1,0.849
242,spec_inter_ref_a3m_2,0.705
243,spec_inter_ref_a3m_3,0.785
244,spec_inter_ref_a3m_4,0.741
245,spec_inter_ref_sto_0,0.842
246,spec_inter_ref_sto_1,0.853
247,spec_inter_ref_sto_2,0.847
248,spec_inter_ref_sto_3,0.844
249,spec_inter_ref_sto_4,0.845
250,spec_pdb_0,0.703
251,spec_pdb_1,0.783
252,spec_pdb_2,0.701
253,spec_pdb_3,0.705
254,spec_pdb_4,0.827
255,spec_pdb70_0,0.725
256,spec_pdb70_1,0.712
257,spec_pdb70_2,0.751
258,spec_pdb70_3,0.714
259,spec_pdb70_4,0.709
260,spec_struct_0,0.806
261,spec_struct_1,0.8
262,spec_struct_2,0.829
263,spec_struct_3,0.824
264,spec_struct_4,0.82
265,uniclust_ox_a3m_0,0.829
266,uniclust_ox_a3m_1,0.846
267,uniclust_ox_a3m_2,0.84
268,uniclust_ox_a3m_3,0.823
269,uniclust_ox_a3m_4,0.825
