,model,tmscore
0,af3_jian_0,0.847
1,af3_jian_1,0.847
2,af3_jian_2,0.847
3,af3_jian_3,0.847
4,af3_jian_4,0.847
5,af3_jian_5,0.847
6,af3_jian_6,0.847
7,af3_jian_7,0.847
8,af3_jian_8,0.847
9,af3_jian_9,0.847
10,af3_pawan_0,0.844
11,af3_pawan_1,0.844
12,af3_pawan_2,0.844
13,af3_pawan_3,0.844
14,af3_pawan_4,0.844
15,af3_pawan_5,0.844
16,af3_pawan_6,0.844
17,af3_pawan_7,0.844
18,af3_pawan_8,0.844
19,af3_pawan_9,0.844
20,af3_refine_0,0.542
21,af3_refine_1,0.542
22,af3_refine_2,0.542
23,af3_refine_3,0.542
24,af3_refine_4,0.542
25,af3_refine_5,0.542
26,af3_refine_6,0.542
27,af3_refine_7,0.542
28,af3_refine_8,0.542
29,af3_refine_9,0.542
30,afsample_v1_0,0.759
31,afsample_v1_1,0.759
32,afsample_v1_2,0.759
33,afsample_v1_3,0.759
34,afsample_v1_4,0.759
35,afsample_v1_5,0.759
36,afsample_v1_6,0.759
37,afsample_v1_7,0.759
38,afsample_v1_8,0.759
39,afsample_v1_9,0.759
40,afsample_v1_not_0,0.786
41,afsample_v1_not_1,0.786
42,afsample_v1_not_2,0.786
43,afsample_v1_not_3,0.786
44,afsample_v1_not_4,0.786
45,afsample_v1_not_5,0.786
46,afsample_v1_not_6,0.786
47,afsample_v1_not_7,0.786
48,afsample_v1_not_8,0.786
49,afsample_v1_not_9,0.786
50,afsample_v1_r21_not_0,0.806
51,afsample_v1_r21_not_1,0.806
52,afsample_v1_r21_not_2,0.806
53,afsample_v1_r21_not_3,0.806
54,afsample_v1_r21_not_4,0.806
55,afsample_v1_r21_not_5,0.806
56,afsample_v1_r21_not_6,0.806
57,afsample_v1_r21_not_7,0.806
58,afsample_v1_r21_not_8,0.806
59,afsample_v1_r21_not_9,0.806
60,afsample_v2_0,0.864
61,afsample_v2_1,0.864
62,afsample_v2_2,0.864
63,afsample_v2_3,0.864
64,afsample_v2_4,0.864
65,afsample_v2_5,0.864
66,afsample_v2_6,0.864
67,afsample_v2_7,0.864
68,afsample_v2_8,0.864
69,afsample_v2_9,0.864
70,afsample_v2_not_0,0.825
71,afsample_v2_not_1,0.825
72,afsample_v2_not_2,0.825
73,afsample_v2_not_3,0.825
74,afsample_v2_not_4,0.825
75,afsample_v2_not_5,0.825
76,afsample_v2_not_6,0.825
77,afsample_v2_not_7,0.825
78,afsample_v2_not_8,0.825
79,afsample_v2_not_9,0.825
80,afsample_v2_r21_not_0,0.88
81,afsample_v2_r21_not_1,0.88
82,afsample_v2_r21_not_2,0.88
83,afsample_v2_r21_not_3,0.88
84,afsample_v2_r21_not_4,0.88
85,afsample_v2_r21_not_5,0.88
86,afsample_v2_r21_not_6,0.88
87,afsample_v2_r21_not_7,0.88
88,afsample_v2_r21_not_8,0.88
89,afsample_v2_r21_not_9,0.88
90,deepmsa2_0_0,0.707
91,deepmsa2_0_1,0.707
92,deepmsa2_0_2,0.707
93,deepmsa2_0_3,0.707
94,deepmsa2_0_4,0.707
95,deepmsa2_0_5,0.707
96,deepmsa2_0_6,0.707
97,deepmsa2_0_7,0.707
98,deepmsa2_0_8,0.707
99,deepmsa2_0_9,0.707
100,deepmsa2_1_0,0.674
101,deepmsa2_1_1,0.674
102,deepmsa2_1_2,0.674
103,deepmsa2_1_3,0.674
104,deepmsa2_1_4,0.674
105,deepmsa2_1_5,0.674
106,deepmsa2_1_6,0.674
107,deepmsa2_1_7,0.674
108,deepmsa2_1_8,0.674
109,deepmsa2_1_9,0.674
110,deepmsa2_10_0,0.774
111,deepmsa2_10_1,0.774
112,deepmsa2_10_2,0.774
113,deepmsa2_10_3,0.774
114,deepmsa2_10_4,0.774
115,deepmsa2_10_5,0.774
116,deepmsa2_10_6,0.774
117,deepmsa2_10_7,0.774
118,deepmsa2_10_8,0.774
119,deepmsa2_10_9,0.774
120,deepmsa2_11_0,0.786
121,deepmsa2_11_1,0.786
122,deepmsa2_11_2,0.786
123,deepmsa2_11_3,0.786
124,deepmsa2_11_4,0.786
125,deepmsa2_11_5,0.786
126,deepmsa2_11_6,0.786
127,deepmsa2_11_7,0.786
128,deepmsa2_11_8,0.786
129,deepmsa2_11_9,0.786
130,deepmsa2_12_0,0.683
131,deepmsa2_12_1,0.683
132,deepmsa2_12_2,0.683
133,deepmsa2_12_3,0.683
134,deepmsa2_12_4,0.683
135,deepmsa2_12_5,0.683
136,deepmsa2_12_6,0.683
137,deepmsa2_12_7,0.683
138,deepmsa2_12_8,0.683
139,deepmsa2_12_9,0.683
140,deepmsa2_13_0,0.712
141,deepmsa2_13_1,0.712
142,deepmsa2_13_2,0.712
143,deepmsa2_13_3,0.712
144,deepmsa2_13_4,0.712
145,deepmsa2_13_5,0.712
146,deepmsa2_13_6,0.712
147,deepmsa2_13_7,0.712
148,deepmsa2_13_8,0.712
149,deepmsa2_13_9,0.712
150,deepmsa2_14_0,0.723
151,deepmsa2_14_1,0.723
152,deepmsa2_14_2,0.723
153,deepmsa2_14_3,0.723
154,deepmsa2_14_4,0.723
155,deepmsa2_14_5,0.723
156,deepmsa2_14_6,0.723
157,deepmsa2_14_7,0.723
158,deepmsa2_14_8,0.723
159,deepmsa2_14_9,0.723
160,deepmsa2_15_0,0.717
161,deepmsa2_15_1,0.717
162,deepmsa2_15_2,0.717
163,deepmsa2_15_3,0.717
164,deepmsa2_15_4,0.717
165,deepmsa2_15_5,0.717
166,deepmsa2_15_6,0.717
167,deepmsa2_15_7,0.717
168,deepmsa2_15_8,0.717
169,deepmsa2_15_9,0.717
