,model,tmscore
0,af3_jian_0,0.532
1,af3_jian_1,0.478
2,af3_jian_2,0.472
3,af3_jian_3,0.54
4,af3_jian_4,0.509
5,af3_jian_5,0.53
6,af3_jian_6,0.531
7,af3_jian_7,0.526
8,af3_jian_8,0.442
9,af3_jian_9,0.528
10,af3_pawan_0,0.559
11,af3_pawan_1,0.529
12,af3_pawan_2,0.506
13,af3_pawan_3,0.548
14,af3_pawan_4,0.559
15,af3_pawan_5,0.51
16,af3_pawan_6,0.568
17,af3_pawan_7,0.602
18,af3_pawan_8,0.504
19,af3_pawan_9,0.487
20,afsample_v1_0,0.138
21,afsample_v1_1,0.138
22,afsample_v1_2,0.137
23,afsample_v1_3,0.138
24,afsample_v1_4,0.139
25,afsample_v1_not_0,0.137
26,afsample_v1_not_1,0.137
27,afsample_v1_not_2,0.137
28,afsample_v1_not_3,0.139
29,afsample_v1_not_4,0.137
30,afsample_v1_r21_not_0,0.138
31,afsample_v1_r21_not_1,0.141
32,afsample_v1_r21_not_2,0.142
33,afsample_v1_r21_not_3,0.14
34,afsample_v1_r21_not_4,0.141
35,afsample_v2_0,0.683
36,afsample_v2_1,0.659
37,afsample_v2_2,0.626
38,afsample_v2_3,0.701
39,afsample_v2_4,0.671
40,afsample_v2_not_0,0.66
41,afsample_v2_not_1,0.672
42,afsample_v2_not_2,0.65
43,afsample_v2_not_3,0.698
44,afsample_v2_not_4,0.681
45,afsample_v2_r21_not_0,0.663
46,afsample_v2_r21_not_1,0.64
47,afsample_v2_r21_not_2,0.668
48,afsample_v2_r21_not_3,0.691
49,afsample_v2_r21_not_4,0.647
50,colabfold_casp16_web_0,0.538
51,colabfold_casp16_web_1,0.614
52,colabfold_casp16_web_2,0.574
53,colabfold_casp16_web_3,0.551
54,colabfold_casp16_web_4,0.65
55,colabfold_casp16_web_not_0,0.583
56,colabfold_casp16_web_not_1,0.537
57,colabfold_casp16_web_not_2,0.544
58,colabfold_casp16_web_not_3,0.562
59,colabfold_casp16_web_not_4,0.563
60,deepmsa2_0_0,0.689
61,deepmsa2_0_1,0.698
62,deepmsa2_0_2,0.694
63,deepmsa2_0_3,0.685
64,deepmsa2_0_4,0.66
65,deepmsa2_1_0,0.641
66,deepmsa2_1_1,0.636
67,deepmsa2_1_2,0.694
68,deepmsa2_1_3,0.664
69,deepmsa2_1_4,0.66
70,deepmsa2_2_0,0.65
71,deepmsa2_2_1,0.694
72,deepmsa2_2_2,0.694
73,deepmsa2_2_3,0.689
74,deepmsa2_2_4,0.65
75,deepmsa2_3_0,0.579
76,deepmsa2_3_1,0.613
77,deepmsa2_3_2,0.54
78,deepmsa2_3_3,0.506
79,deepmsa2_3_4,0.557
80,deepmsa2_4_0,0.481
81,deepmsa2_4_1,0.468
82,deepmsa2_4_2,0.438
83,deepmsa2_4_3,0.443
84,deepmsa2_4_4,0.445
85,deepmsa2_5_0,0.597
86,deepmsa2_5_1,0.6
87,deepmsa2_5_2,0.621
88,deepmsa2_5_3,0.566
89,deepmsa2_5_4,0.613
90,deepmsa2_6_0,0.611
91,deepmsa2_6_1,0.596
92,deepmsa2_6_2,0.616
93,deepmsa2_6_3,0.586
94,deepmsa2_6_4,0.587
95,deepmsa2_7_0,0.609
96,deepmsa2_7_1,0.595
97,deepmsa2_7_2,0.585
98,deepmsa2_7_3,0.599
99,deepmsa2_7_4,0.599
100,def_mul_comp_0,0.612
101,def_mul_comp_1,0.56
102,def_mul_comp_2,0.558
103,def_mul_comp_3,0.551
104,def_mul_comp_4,0.547
105,def_mul_drop_nos_0,0.549
106,def_mul_drop_nos_1,0.526
107,def_mul_drop_nos_2,0.536
108,def_mul_drop_nos_3,0.541
109,def_mul_drop_nos_4,0.533
110,def_mul_drop_s_0,0.53
111,def_mul_drop_s_1,0.543
112,def_mul_drop_s_2,0.569
113,def_mul_drop_s_3,0.553
114,def_mul_drop_s_4,0.53
115,def_mul_esm_msa_0,0.623
116,def_mul_esm_msa_1,0.536
117,def_mul_esm_msa_2,0.544
118,def_mul_esm_msa_3,0.583
119,def_mul_esm_msa_4,0.612
120,def_mul_not_drop_nos_0,0.585
121,def_mul_not_drop_nos_1,0.572
122,def_mul_not_drop_nos_2,0.612
123,def_mul_not_drop_nos_3,0.587
124,def_mul_not_drop_nos_4,0.55
125,def_mul_not_drop_s_0,0.603
126,def_mul_not_drop_s_1,0.594
127,def_mul_not_drop_s_2,0.601
128,def_mul_not_drop_s_3,0.582
129,def_mul_not_drop_s_4,0.596
130,def_mul_notemp_0,0.54
131,def_mul_notemp_1,0.536
132,def_mul_notemp_2,0.565
133,def_mul_notemp_3,0.533
134,def_mul_notemp_4,0.555
135,def_mul_pdb_0,0.541
136,def_mul_pdb_1,0.618
137,def_mul_pdb_2,0.592
138,def_mul_pdb_3,0.573
139,def_mul_pdb_4,0.597
140,def_mul_pdb70_0,0.595
141,def_mul_pdb70_1,0.548
142,def_mul_pdb70_2,0.572
143,def_mul_pdb70_3,0.565
144,def_mul_pdb70_4,0.548
145,def_mul_struct_0,0.597
