,model,tmscore
0,af3_jian_0,0.886
1,af3_jian_1,0.9
2,af3_jian_2,0.866
3,af3_jian_3,0.847
4,af3_jian_4,0.865
5,af3_jian_5,0.848
6,af3_jian_6,0.848
7,af3_jian_7,0.867
8,af3_jian_8,0.867
9,af3_jian_9,0.901
10,af3_pawan_0,0.883
11,af3_pawan_1,0.866
12,af3_pawan_2,0.884
13,af3_pawan_3,0.885
14,af3_pawan_4,0.848
15,af3_pawan_5,0.902
16,af3_pawan_6,0.902
17,af3_pawan_7,0.883
18,af3_pawan_8,0.884
19,af3_pawan_9,0.865
20,afsample_v1_0,0.881
21,afsample_v1_1,0.845
22,afsample_v1_2,0.881
23,afsample_v1_3,0.861
24,afsample_v1_4,0.881
25,afsample_v1_not_0,0.861
26,afsample_v1_not_1,0.862
27,afsample_v1_not_2,0.861
28,afsample_v1_not_3,0.89
29,afsample_v1_not_4,0.88
30,afsample_v1_r21_not_0,0.89
31,afsample_v1_r21_not_1,0.89
32,afsample_v1_r21_not_2,0.882
33,afsample_v1_r21_not_3,0.882
34,afsample_v1_r21_not_4,0.872
35,afsample_v2_0,0.85
36,afsample_v2_1,0.857
37,afsample_v2_2,0.85
38,afsample_v2_3,0.832
39,afsample_v2_4,0.832
40,afsample_v2_not_0,0.865
41,afsample_v2_not_1,0.865
42,afsample_v2_not_2,0.85
43,afsample_v2_not_3,0.85
44,afsample_v2_not_4,0.832
45,afsample_v2_r21_not_0,0.832
46,afsample_v2_r21_not_1,0.823
47,afsample_v2_r21_not_2,0.848
48,afsample_v2_r21_not_3,0.85
49,afsample_v2_r21_not_4,0.865
50,colabfold_casp16_web_0,0.814
51,colabfold_casp16_web_1,0.842
52,colabfold_casp16_web_2,0.829
53,colabfold_casp16_web_3,0.812
54,colabfold_casp16_web_4,0.827
55,colabfold_casp16_web_not_0,0.856
56,colabfold_casp16_web_not_1,0.85
57,colabfold_casp16_web_not_2,0.872
58,colabfold_casp16_web_not_3,0.845
59,colabfold_casp16_web_not_4,0.872
60,deepmsa2_0_0,0.857
61,deepmsa2_0_1,0.839
62,deepmsa2_0_2,0.856
63,deepmsa2_0_3,0.85
64,deepmsa2_0_4,0.856
65,deepmsa2_1_0,0.873
66,deepmsa2_1_1,0.851
67,deepmsa2_1_2,0.866
68,deepmsa2_1_3,0.842
69,deepmsa2_1_4,0.865
70,deepmsa2_2_0,0.848
71,deepmsa2_2_1,0.841
72,deepmsa2_2_2,0.847
73,deepmsa2_2_3,0.841
74,deepmsa2_2_4,0.842
75,deepmsa2_3_0,0.848
76,deepmsa2_3_1,0.841
77,deepmsa2_3_2,0.848
78,deepmsa2_3_3,0.848
79,deepmsa2_3_4,0.848
80,def_mul_comp_0,0.858
81,def_mul_comp_1,0.843
82,def_mul_comp_2,0.849
83,def_mul_comp_3,0.815
84,def_mul_comp_4,0.84
85,def_mul_drop_nos_0,0.847
86,def_mul_drop_nos_1,0.866
87,def_mul_drop_nos_2,0.856
88,def_mul_drop_nos_3,0.872
89,def_mul_drop_nos_4,0.873
90,def_mul_drop_s_0,0.856
91,def_mul_drop_s_1,0.865
92,def_mul_drop_s_2,0.841
93,def_mul_drop_s_3,0.847
94,def_mul_drop_s_4,0.868
95,def_mul_esm_msa_0,0.864
96,def_mul_esm_msa_1,0.873
97,def_mul_esm_msa_2,0.848
98,def_mul_esm_msa_3,0.845
99,def_mul_esm_msa_4,0.856
100,def_mul_not_drop_nos_0,0.864
101,def_mul_not_drop_nos_1,0.856
102,def_mul_not_drop_nos_2,0.891
103,def_mul_not_drop_nos_3,0.856
104,def_mul_not_drop_nos_4,0.864
105,def_mul_not_drop_s_0,0.865
106,def_mul_not_drop_s_1,0.857
107,def_mul_not_drop_s_2,0.874
108,def_mul_not_drop_s_3,0.867
109,def_mul_not_drop_s_4,0.865
110,def_mul_notemp_0,0.864
111,def_mul_notemp_1,0.856
112,def_mul_notemp_2,0.864
113,def_mul_notemp_3,0.865
114,def_mul_notemp_4,0.856
115,def_mul_pdb_0,0.84
116,def_mul_pdb_1,0.824
117,def_mul_pdb_2,0.824
118,def_mul_pdb_3,0.858
119,def_mul_pdb_4,0.843
120,def_mul_pdb70_0,0.855
121,def_mul_pdb70_1,0.872
122,def_mul_pdb70_2,0.872
123,def_mul_pdb70_3,0.88
124,def_mul_pdb70_4,0.872
125,def_mul_struct_0,0.85
126,def_mul_struct_1,0.858
127,def_mul_struct_2,0.843
128,def_mul_struct_3,0.858
129,def_mul_struct_4,0.858
130,default_multimer_0,0.847
131,default_multimer_1,0.873
132,default_multimer_2,0.873
133,default_multimer_3,0.856
134,default_multimer_4,0.845
135,folds_iter_1_0,0.85
136,folds_iter_1_1,0.829
137,folds_iter_1_2,0.858
138,folds_iter_1_3,0.843
139,folds_iter_1_4,0.858
140,folds_iter_2_0,0.824
141,folds_iter_2_1,0.843
142,folds_iter_2_2,0.868
143,folds_iter_2_3,0.858
144,folds_iter_2_4,0.843
145,folds_iter_esm_1_0,0.864
146,folds_iter_esm_1_1,0.847
147,folds_iter_esm_1_2,0.864
148,folds_iter_esm_1_3,0.865
149,folds_iter_esm_1_4,0.85
150,folds_iter_esm_2_0,0.865
151,folds_iter_esm_2_1,0.873
152,folds_iter_esm_2_2,0.856
153,folds_iter_esm_2_3,0.865
154,folds_iter_esm_2_4,0.843
155,folds_iter_esm_not_1_0,0.864
156,folds_iter_esm_not_1_1,0.864
157,folds_iter_esm_not_1_2,0.864
