,model,tmscore
0,af3_jian_0,0.957
1,af3_jian_1,0.959
2,af3_jian_2,0.955
3,af3_jian_3,0.951
4,af3_jian_4,0.957
5,af3_jian_5,0.955
6,af3_jian_6,0.95
7,af3_jian_7,0.952
8,af3_jian_8,0.952
9,af3_jian_9,0.953
10,af3_pawan_0,0.954
11,af3_pawan_1,0.95
12,af3_pawan_2,0.956
13,af3_pawan_3,0.954
14,af3_pawan_4,0.952
15,af3_pawan_5,0.954
16,af3_pawan_6,0.957
17,af3_pawan_7,0.955
18,af3_pawan_8,0.954
19,af3_pawan_9,0.949
20,afsample_v1_0,0.951
21,afsample_v1_1,0.949
22,afsample_v1_2,0.951
23,afsample_v1_3,0.953
24,afsample_v1_4,0.949
25,afsample_v1_not_0,0.951
26,afsample_v1_not_1,0.95
27,afsample_v1_not_2,0.951
28,afsample_v1_not_3,0.952
29,afsample_v1_not_4,0.95
30,afsample_v1_r21_not_0,0.958
31,afsample_v1_r21_not_1,0.953
32,afsample_v1_r21_not_2,0.954
33,afsample_v1_r21_not_3,0.954
34,afsample_v1_r21_not_4,0.954
35,afsample_v2_0,0.955
36,afsample_v2_1,0.955
37,afsample_v2_2,0.951
38,afsample_v2_3,0.958
39,afsample_v2_4,0.955
40,afsample_v2_not_0,0.955
41,afsample_v2_not_1,0.949
42,afsample_v2_not_2,0.951
43,afsample_v2_not_3,0.951
44,afsample_v2_not_4,0.949
45,afsample_v2_r21_not_0,0.956
46,afsample_v2_r21_not_1,0.955
47,afsample_v2_r21_not_2,0.955
48,afsample_v2_r21_not_3,0.954
49,afsample_v2_r21_not_4,0.955
50,colabfold_casp16_web_0,0.959
51,colabfold_casp16_web_1,0.958
52,colabfold_casp16_web_2,0.958
53,colabfold_casp16_web_3,0.959
54,colabfold_casp16_web_4,0.958
55,colabfold_casp16_web_not_0,0.959
56,colabfold_casp16_web_not_1,0.958
57,colabfold_casp16_web_not_2,0.955
58,colabfold_casp16_web_not_3,0.957
59,colabfold_casp16_web_not_4,0.956
60,deepmsa2_0_0,0.958
61,deepmsa2_0_1,0.955
62,deepmsa2_0_2,0.952
63,deepmsa2_0_3,0.958
64,deepmsa2_0_4,0.958
65,deepmsa2_1_0,0.949
66,deepmsa2_1_1,0.953
