,model,tmscore
0,af3_jian_0,0.919
1,af3_jian_1,0.924
2,af3_jian_2,0.92
3,af3_jian_3,0.918
4,af3_jian_4,0.918
5,af3_jian_5,0.916
6,af3_jian_6,0.918
7,af3_jian_7,0.908
8,af3_jian_8,0.92
9,af3_jian_9,0.923
10,af3_pawan_0,0.922
11,af3_pawan_1,0.918
12,af3_pawan_2,0.921
13,af3_pawan_3,0.924
14,af3_pawan_4,0.922
15,af3_pawan_5,0.924
16,af3_pawan_6,0.924
17,af3_pawan_7,0.922
18,af3_pawan_8,0.917
19,af3_pawan_9,0.921
20,afsample_v1_0,0.917
21,afsample_v1_1,0.914
22,afsample_v1_2,0.916
23,afsample_v1_3,0.917
24,afsample_v1_4,0.917
25,afsample_v1_not_0,0.917
26,afsample_v1_not_1,0.918
27,afsample_v1_not_2,0.917
28,afsample_v1_not_3,0.916
29,afsample_v1_not_4,0.915
30,afsample_v1_r21_not_0,0.907
31,afsample_v1_r21_not_1,0.908
32,afsample_v1_r21_not_2,0.908
33,afsample_v1_r21_not_3,0.906
34,afsample_v1_r21_not_4,0.907
35,afsample_v2_0,0.917
36,afsample_v2_1,0.915
37,afsample_v2_2,0.917
38,afsample_v2_3,0.916
39,afsample_v2_4,0.915
40,afsample_v2_not_0,0.915
41,afsample_v2_not_1,0.916
42,afsample_v2_not_2,0.914
43,afsample_v2_not_3,0.916
44,afsample_v2_not_4,0.915
45,afsample_v2_r21_not_0,0.917
46,afsample_v2_r21_not_1,0.919
47,afsample_v2_r21_not_2,0.92
48,afsample_v2_r21_not_3,0.92
49,afsample_v2_r21_not_4,0.921
50,colabfold_casp16_web_0,0.917
51,colabfold_casp16_web_1,0.918
52,colabfold_casp16_web_2,0.916
53,colabfold_casp16_web_3,0.917
54,colabfold_casp16_web_4,0.916
55,colabfold_casp16_web_not_0,0.922
56,colabfold_casp16_web_not_1,0.921
57,colabfold_casp16_web_not_2,0.922
58,colabfold_casp16_web_not_3,0.922
59,colabfold_casp16_web_not_4,0.922
60,deepmsa2_0_0,0.918
61,deepmsa2_0_1,0.916
62,deepmsa2_0_2,0.92
63,deepmsa2_0_3,0.917
64,deepmsa2_0_4,0.917
65,deepmsa2_1_0,0.917
66,deepmsa2_1_1,0.918
67,deepmsa2_1_2,0.923
68,deepmsa2_1_3,0.918
69,deepmsa2_1_4,0.92
70,deepmsa2_2_0,0.911
71,deepmsa2_2_1,0.911
72,deepmsa2_2_2,0.912
73,deepmsa2_2_3,0.911
74,deepmsa2_2_4,0.91
75,deepmsa2_3_0,0.912
76,deepmsa2_3_1,0.911
77,deepmsa2_3_2,0.911
78,deepmsa2_3_3,0.91
79,deepmsa2_3_4,0.912
80,def_mul_comp_0,0.915
81,def_mul_comp_1,0.914
82,def_mul_comp_2,0.914
83,def_mul_comp_3,0.913
84,def_mul_comp_4,0.914
85,def_mul_drop_nos_0,0.918
86,def_mul_drop_nos_1,0.919
87,def_mul_drop_nos_2,0.917
88,def_mul_drop_nos_3,0.915
89,def_mul_drop_nos_4,0.917
90,def_mul_drop_s_0,0.917
91,def_mul_drop_s_1,0.917
92,def_mul_drop_s_2,0.917
93,def_mul_drop_s_3,0.917
94,def_mul_drop_s_4,0.922
95,def_mul_esm_msa_0,0.916
96,def_mul_esm_msa_1,0.916
97,def_mul_esm_msa_2,0.918
98,def_mul_esm_msa_3,0.915
99,def_mul_esm_msa_4,0.916
100,def_mul_not_drop_nos_0,0.918
101,def_mul_not_drop_nos_1,0.918
102,def_mul_not_drop_nos_2,0.921
103,def_mul_not_drop_nos_3,0.916
104,def_mul_not_drop_nos_4,0.916
105,def_mul_not_drop_s_0,0.921
106,def_mul_not_drop_s_1,0.919
107,def_mul_not_drop_s_2,0.921
108,def_mul_not_drop_s_3,0.922
109,def_mul_not_drop_s_4,0.916
110,def_mul_notemp_0,0.918
111,def_mul_notemp_1,0.917
112,def_mul_notemp_2,0.919
113,def_mul_notemp_3,0.916
114,def_mul_notemp_4,0.918
115,def_mul_pdb_0,0.913
116,def_mul_pdb_1,0.914
117,def_mul_pdb_2,0.914
118,def_mul_pdb_3,0.915
119,def_mul_pdb_4,0.915
120,def_mul_pdb70_0,0.918
121,def_mul_pdb70_1,0.917
122,def_mul_pdb70_2,0.918
123,def_mul_pdb70_3,0.917
124,def_mul_pdb70_4,0.918
125,def_mul_struct_0,0.914
126,def_mul_struct_1,0.915
127,def_mul_struct_2,0.916
128,def_mul_struct_3,0.914
129,def_mul_struct_4,0.914
130,default_multimer_0,0.915
131,default_multimer_1,0.915
132,default_multimer_2,0.916
133,default_multimer_3,0.915
134,default_multimer_4,0.915
135,folds_iter_1_0,0.916
136,folds_iter_1_1,0.915
137,folds_iter_1_2,0.915
138,folds_iter_1_3,0.915
139,folds_iter_1_4,0.915
140,folds_iter_2_0,0.916
141,folds_iter_2_1,0.916
142,folds_iter_2_2,0.918
143,folds_iter_2_3,0.915
144,folds_iter_2_4,0.916
145,folds_iter_esm_1_0,0.916
146,folds_iter_esm_1_1,0.916
147,folds_iter_esm_1_2,0.916
148,folds_iter_esm_1_3,0.916
149,folds_iter_esm_1_4,0.915
150,folds_iter_esm_2_0,0.916
151,folds_iter_esm_2_1,0.916
152,folds_iter_esm_2_2,0.917
153,folds_iter_esm_2_3,0.916
154,folds_iter_esm_2_4,0.915
155,folds_iter_esm_not_1_0,0.918
156,folds_iter_esm_not_1_1,0.917
157,folds_iter_esm_not_1_2,0.921
158,folds_iter_esm_not_1_3,0.918
159,folds_iter_esm_not_1_4,0.917
160,folds_iter_esm_not_2_0,0.92
161,folds_iter_esm_not_2_1,0.923
162,folds_iter_esm_not_2_2,0.918
163,folds_iter_esm_not_2_3,0.919
164,folds_iter_esm_not_2_4,0.919
165,folds_iter_esm_o_1_0,0.916
166,folds_iter_esm_o_1_1,0.915
167,folds_iter_esm_o_1_2,0.915
168,folds_iter_esm_o_1_3,0.916
169,folds_iter_esm_o_1_4,0.916
170,folds_iter_esm_o_2_0,0.915
171,folds_iter_esm_o_2_1,0.915
172,folds_iter_esm_o_2_2,0.916
173,folds_iter_esm_o_2_3,0.916
174,folds_iter_esm_o_2_4,0.915
175,folds_iter_esm_o_not_1_0,0.919
176,folds_iter_esm_o_not_1_1,0.918
177,folds_iter_esm_o_not_1_2,0.919
178,folds_iter_esm_o_not_1_3,0.918
179,folds_iter_esm_o_not_1_4,0.917
180,folds_iter_esm_o_not_2_0,0.918
181,folds_iter_esm_o_not_2_1,0.918
182,folds_iter_esm_o_not_2_2,0.919
183,folds_iter_esm_o_not_2_3,0.922
184,folds_iter_esm_o_not_2_4,0.919
185,folds_iter_not_1_0,0.917
186,folds_iter_not_1_1,0.919
187,folds_iter_not_1_2,0.917
188,folds_iter_not_1_3,0.918
189,folds_iter_not_1_4,0.919
190,folds_iter_not_2_0,0.917
191,folds_iter_not_2_1,0.917
192,folds_iter_not_2_2,0.919
193,folds_iter_not_2_3,0.921
194,folds_iter_not_2_4,0.918
195,folds_iter_o_1_0,0.915
196,folds_iter_o_1_1,0.917
197,folds_iter_o_1_2,0.916
198,folds_iter_o_1_3,0.915
199,folds_iter_o_1_4,0.916
200,folds_iter_o_2_0,0.918
201,folds_iter_o_2_1,0.915
202,folds_iter_o_2_2,0.916
203,folds_iter_o_2_3,0.916
204,folds_iter_o_2_4,0.916
205,folds_iter_o_not_1_0,0.918
206,folds_iter_o_not_1_1,0.918
207,folds_iter_o_not_1_2,0.917
208,folds_iter_o_not_1_3,0.919
209,folds_iter_o_not_1_4,0.918
210,folds_iter_o_not_2_0,0.918
211,folds_iter_o_not_2_1,0.917
212,folds_iter_o_not_2_2,0.915
213,folds_iter_o_not_2_3,0.918
214,folds_iter_o_not_2_4,0.918
215,pdb_inter_prot_sto_0,0.913
216,pdb_inter_prot_sto_1,0.92
217,pdb_inter_prot_sto_2,0.914
218,pdb_inter_prot_sto_3,0.911
219,pdb_inter_prot_sto_4,0.92
220,pdb_inter_ref_a3m_0,0.907
221,pdb_inter_ref_a3m_1,0.902
222,pdb_inter_ref_a3m_2,0.904
223,pdb_inter_ref_a3m_3,0.897
224,pdb_inter_ref_a3m_4,0.87
225,pdb_inter_ref_sto_0,0.919
226,pdb_inter_ref_sto_1,0.92
227,pdb_inter_ref_sto_2,0.92
228,pdb_inter_ref_sto_3,0.912
229,pdb_inter_ref_sto_4,0.912
230,spec_comp_0,0.853
231,spec_comp_1,0.853
232,spec_comp_2,0.88
233,spec_comp_3,0.867
234,spec_comp_4,0.883
235,spec_inter_prot_sto_0,0.924
236,spec_inter_prot_sto_1,0.916
237,spec_inter_prot_sto_2,0.916
238,spec_inter_prot_sto_3,0.915
239,spec_inter_prot_sto_4,0.914
240,spec_inter_ref_a3m_0,0.882
241,spec_inter_ref_a3m_1,0.883
242,spec_inter_ref_a3m_2,0.868
243,spec_inter_ref_a3m_3,0.873
244,spec_inter_ref_a3m_4,0.869
245,spec_inter_ref_sto_0,0.916
246,spec_inter_ref_sto_1,0.917
247,spec_inter_ref_sto_2,0.916
248,spec_inter_ref_sto_3,0.917
249,spec_inter_ref_sto_4,0.915
250,spec_pdb_0,0.848
251,spec_pdb_1,0.883
252,spec_pdb_2,0.852
253,spec_pdb_3,0.854
254,spec_pdb_4,0.881
255,spec_pdb70_0,0.849
256,spec_pdb70_1,0.859
257,spec_pdb70_2,0.85
258,spec_pdb70_3,0.854
259,spec_pdb70_4,0.857
260,spec_struct_0,0.886
261,spec_struct_1,0.887
262,spec_struct_2,0.884
263,spec_struct_3,0.886
264,spec_struct_4,0.883
265,uniclust_ox_a3m_0,0.924
266,uniclust_ox_a3m_1,0.921
267,uniclust_ox_a3m_2,0.922
268,uniclust_ox_a3m_3,0.922
269,uniclust_ox_a3m_4,0.922
