,model,tmscore
0,af3_jian_0,0.172
1,af3_jian_1,0.172
2,af3_jian_2,0.172
3,af3_jian_3,0.172
4,af3_jian_4,0.172
5,af3_jian_5,0.172
6,af3_jian_6,0.172
7,af3_jian_7,0.172
8,af3_jian_8,0.172
9,af3_jian_9,0.172
10,af3_pawan_0,0.176
11,af3_pawan_1,0.176
12,af3_pawan_2,0.176
13,af3_pawan_3,0.176
14,af3_pawan_4,0.176
15,af3_pawan_5,0.176
16,af3_pawan_6,0.176
17,af3_pawan_7,0.176
18,af3_pawan_8,0.176
19,af3_pawan_9,0.176
20,afsample_v1_0,0.896
21,afsample_v1_1,0.896
22,afsample_v1_2,0.896
23,afsample_v1_3,0.896
24,afsample_v1_4,0.896
25,afsample_v1_5,0.896
26,afsample_v1_6,0.896
27,afsample_v1_7,0.896
28,afsample_v1_8,0.896
29,afsample_v1_9,0.896
30,afsample_v1_not_0,0.892
31,afsample_v1_not_1,0.892
32,afsample_v1_not_2,0.892
33,afsample_v1_not_3,0.892
34,afsample_v1_not_4,0.892
35,afsample_v1_not_5,0.892
36,afsample_v1_not_6,0.892
37,afsample_v1_not_7,0.892
38,afsample_v1_not_8,0.892
39,afsample_v1_not_9,0.892
40,afsample_v1_r21_not_0,0.924
41,afsample_v1_r21_not_1,0.924
42,afsample_v1_r21_not_2,0.924
43,afsample_v1_r21_not_3,0.924
44,afsample_v1_r21_not_4,0.924
45,afsample_v1_r21_not_5,0.924
46,afsample_v1_r21_not_6,0.924
47,afsample_v1_r21_not_7,0.924
48,afsample_v1_r21_not_8,0.924
49,afsample_v1_r21_not_9,0.924
50,afsample_v2_0,0.184
51,afsample_v2_1,0.184
52,afsample_v2_2,0.184
53,afsample_v2_3,0.184
54,afsample_v2_4,0.184
55,afsample_v2_5,0.184
56,afsample_v2_6,0.184
57,afsample_v2_7,0.184
58,afsample_v2_8,0.184
59,afsample_v2_9,0.184
60,afsample_v2_not_0,0.199
61,afsample_v2_not_1,0.199
62,afsample_v2_not_2,0.199
63,afsample_v2_not_3,0.199
64,afsample_v2_not_4,0.199
65,afsample_v2_not_5,0.199
66,afsample_v2_not_6,0.199
67,afsample_v2_not_7,0.199
68,afsample_v2_not_8,0.199
69,afsample_v2_not_9,0.199
70,afsample_v2_r21_not_0,0.257
71,afsample_v2_r21_not_1,0.257
72,afsample_v2_r21_not_2,0.257
73,afsample_v2_r21_not_3,0.257
74,afsample_v2_r21_not_4,0.257
75,afsample_v2_r21_not_5,0.257
76,afsample_v2_r21_not_6,0.257
77,afsample_v2_r21_not_7,0.257
78,afsample_v2_r21_not_8,0.257
79,afsample_v2_r21_not_9,0.257
80,deepmsa2_0_0,0.113
81,deepmsa2_0_1,0.113
82,deepmsa2_0_2,0.113
83,deepmsa2_0_3,0.113
84,deepmsa2_0_4,0.113
85,deepmsa2_0_5,0.113
86,deepmsa2_0_6,0.113
87,deepmsa2_0_7,0.113
88,deepmsa2_0_8,0.113
89,deepmsa2_0_9,0.113
90,deepmsa2_1_0,0.106
91,deepmsa2_1_1,0.106
92,deepmsa2_1_2,0.106
93,deepmsa2_1_3,0.106
94,deepmsa2_1_4,0.106
95,deepmsa2_1_5,0.106
96,deepmsa2_1_6,0.106
97,deepmsa2_1_7,0.106
98,deepmsa2_1_8,0.106
99,deepmsa2_1_9,0.106
100,deepmsa2_10_0,0.163
101,deepmsa2_10_1,0.163
102,deepmsa2_10_2,0.163
103,deepmsa2_10_3,0.163
104,deepmsa2_10_4,0.163
105,deepmsa2_10_5,0.163
106,deepmsa2_10_6,0.163
107,deepmsa2_10_7,0.163
108,deepmsa2_10_8,0.163
109,deepmsa2_10_9,0.163
110,deepmsa2_11_0,0.094
111,deepmsa2_11_1,0.094
112,deepmsa2_11_2,0.094
113,deepmsa2_11_3,0.094
114,deepmsa2_11_4,0.094
115,deepmsa2_11_5,0.094
116,deepmsa2_11_6,0.094
117,deepmsa2_11_7,0.094
118,deepmsa2_11_8,0.094
119,deepmsa2_11_9,0.094
120,deepmsa2_12_0,0.062
121,deepmsa2_12_1,0.062
122,deepmsa2_12_2,0.062
123,deepmsa2_12_3,0.062
124,deepmsa2_12_4,0.062
125,deepmsa2_12_5,0.062
126,deepmsa2_12_6,0.062
127,deepmsa2_12_7,0.062
128,deepmsa2_12_8,0.062
129,deepmsa2_12_9,0.062
130,deepmsa2_13_0,0.08
131,deepmsa2_13_1,0.08
132,deepmsa2_13_2,0.08
133,deepmsa2_13_3,0.08
134,deepmsa2_13_4,0.08
135,deepmsa2_13_5,0.08
136,deepmsa2_13_6,0.08
137,deepmsa2_13_7,0.08
138,deepmsa2_13_8,0.08
139,deepmsa2_13_9,0.08
140,deepmsa2_14_0,0.096
141,deepmsa2_14_1,0.096
142,deepmsa2_14_2,0.096
143,deepmsa2_14_3,0.096
144,deepmsa2_14_4,0.096
145,deepmsa2_14_5,0.096
146,deepmsa2_14_6,0.096
147,deepmsa2_14_7,0.096
148,deepmsa2_14_8,0.096
149,deepmsa2_14_9,0.096
150,deepmsa2_15_0,0.09
151,deepmsa2_15_1,0.09
152,deepmsa2_15_2,0.09
153,deepmsa2_15_3,0.09
154,deepmsa2_15_4,0.09
155,deepmsa2_15_5,0.09
156,deepmsa2_15_6,0.09
157,deepmsa2_15_7,0.09
158,deepmsa2_15_8,0.09
159,deepmsa2_15_9,0.09
160,deepmsa2_2_0,0.007
161,deepmsa2_2_1,0.007
162,deepmsa2_2_2,0.007
163,deepmsa2_2_3,0.007
164,deepmsa2_2_4,0.007
165,deepmsa2_2_5,0.007
166,deepmsa2_2_6,0.007
167,deepmsa2_2_7,0.007
168,deepmsa2_2_8,0.007
169,deepmsa2_2_9,0.007
170,deepmsa2_3_0,0.027
171,deepmsa2_3_1,0.027
172,deepmsa2_3_2,0.027
173,deepmsa2_3_3,0.027
174,deepmsa2_3_4,0.027
175,deepmsa2_3_5,0.027
176,deepmsa2_3_6,0.027
177,deepmsa2_3_7,0.027
178,deepmsa2_3_8,0.027
179,deepmsa2_3_9,0.027
180,deepmsa2_4_0,0.18
181,deepmsa2_4_1,0.18
182,deepmsa2_4_2,0.18
183,deepmsa2_4_3,0.18
184,deepmsa2_4_4,0.18
185,deepmsa2_4_5,0.18
186,deepmsa2_4_6,0.18
187,deepmsa2_4_7,0.18
188,deepmsa2_4_8,0.18
189,deepmsa2_4_9,0.18
190,deepmsa2_5_0,0.29
191,deepmsa2_5_1,0.29
192,deepmsa2_5_2,0.29
193,deepmsa2_5_3,0.29
194,deepmsa2_5_4,0.29
195,deepmsa2_5_5,0.29
196,deepmsa2_5_6,0.29
197,deepmsa2_5_7,0.29
198,deepmsa2_5_8,0.29
199,deepmsa2_5_9,0.29
200,deepmsa2_6_0,0.078
201,deepmsa2_6_1,0.078
202,deepmsa2_6_2,0.078
203,deepmsa2_6_3,0.078
204,deepmsa2_6_4,0.078
205,deepmsa2_6_5,0.078
206,deepmsa2_6_6,0.078
207,deepmsa2_6_7,0.078
208,deepmsa2_6_8,0.078
209,deepmsa2_6_9,0.078
210,deepmsa2_7_0,0.157
211,deepmsa2_7_1,0.157
212,deepmsa2_7_2,0.157
213,deepmsa2_7_3,0.157
214,deepmsa2_7_4,0.157
215,deepmsa2_7_5,0.157
216,deepmsa2_7_6,0.157
217,deepmsa2_7_7,0.157
218,deepmsa2_7_8,0.157
219,deepmsa2_7_9,0.157
220,deepmsa2_8_0,0.147
221,deepmsa2_8_1,0.147
222,deepmsa2_8_2,0.147
223,deepmsa2_8_3,0.147
224,deepmsa2_8_4,0.147
225,deepmsa2_8_5,0.147
226,deepmsa2_8_6,0.147
227,deepmsa2_8_7,0.147
228,deepmsa2_8_8,0.147
229,deepmsa2_8_9,0.147
230,deepmsa2_9_0,0.194
231,deepmsa2_9_1,0.194
232,deepmsa2_9_2,0.194
233,deepmsa2_9_3,0.194
234,deepmsa2_9_4,0.194
235,deepmsa2_9_5,0.194
236,deepmsa2_9_6,0.194
237,deepmsa2_9_7,0.194
238,deepmsa2_9_8,0.194
239,deepmsa2_9_9,0.194
240,def_mul_comp_0,0.05
241,def_mul_comp_1,0.05
242,def_mul_comp_2,0.05
243,def_mul_comp_3,0.05
244,def_mul_comp_4,0.05
245,def_mul_comp_5,0.05
246,def_mul_comp_6,0.05
247,def_mul_comp_7,0.05
248,def_mul_comp_8,0.05
249,def_mul_comp_9,0.05
250,def_mul_drop_nos_0,0.05
251,def_mul_drop_nos_1,0.05
252,def_mul_drop_nos_2,0.05
253,def_mul_drop_nos_3,0.05
254,def_mul_drop_nos_4,0.05
255,def_mul_drop_nos_5,0.05
256,def_mul_drop_nos_6,0.05
257,def_mul_drop_nos_7,0.05
258,def_mul_drop_nos_8,0.05
259,def_mul_drop_nos_9,0.05
260,def_mul_drop_s_0,0.066
261,def_mul_drop_s_1,0.066
262,def_mul_drop_s_2,0.066
263,def_mul_drop_s_3,0.066
264,def_mul_drop_s_4,0.066
265,def_mul_drop_s_5,0.066
266,def_mul_drop_s_6,0.066
267,def_mul_drop_s_7,0.066
268,def_mul_drop_s_8,0.066
269,def_mul_drop_s_9,0.066
270,def_mul_esm_msa_0,0.261
271,def_mul_esm_msa_1,0.261
272,def_mul_esm_msa_2,0.261
273,def_mul_esm_msa_3,0.261
274,def_mul_esm_msa_4,0.261
275,def_mul_esm_msa_5,0.261
276,def_mul_esm_msa_6,0.261
277,def_mul_esm_msa_7,0.261
278,def_mul_esm_msa_8,0.261
279,def_mul_esm_msa_9,0.261
280,def_mul_nopair_0,0.007
281,def_mul_nopair_1,0.007
282,def_mul_nopair_2,0.007
283,def_mul_nopair_3,0.007
284,def_mul_nopair_4,0.007
285,def_mul_nopair_5,0.007
286,def_mul_nopair_6,0.007
287,def_mul_nopair_7,0.007
288,def_mul_nopair_8,0.007
289,def_mul_nopair_9,0.007
290,def_mul_not_drop_nos_0,0.03
291,def_mul_not_drop_nos_1,0.03
292,def_mul_not_drop_nos_2,0.03
293,def_mul_not_drop_nos_3,0.03
294,def_mul_not_drop_nos_4,0.03
295,def_mul_not_drop_nos_5,0.03
296,def_mul_not_drop_nos_6,0.03
297,def_mul_not_drop_nos_7,0.03
298,def_mul_not_drop_nos_8,0.03
299,def_mul_not_drop_nos_9,0.03
300,def_mul_not_drop_s_0,0.09
301,def_mul_not_drop_s_1,0.09
302,def_mul_not_drop_s_2,0.09
303,def_mul_not_drop_s_3,0.09
304,def_mul_not_drop_s_4,0.09
305,def_mul_not_drop_s_5,0.09
306,def_mul_not_drop_s_6,0.09
307,def_mul_not_drop_s_7,0.09
308,def_mul_not_drop_s_8,0.09
309,def_mul_not_drop_s_9,0.09
310,def_mul_notemp_0,0.013
311,def_mul_notemp_1,0.013
312,def_mul_notemp_2,0.013
313,def_mul_notemp_3,0.013
314,def_mul_notemp_4,0.013
315,def_mul_notemp_5,0.013
316,def_mul_notemp_6,0.013
317,def_mul_notemp_7,0.013
318,def_mul_notemp_8,0.013
319,def_mul_notemp_9,0.013
320,def_mul_pdb_0,0.015
321,def_mul_pdb_1,0.015
322,def_mul_pdb_2,0.015
323,def_mul_pdb_3,0.015
324,def_mul_pdb_4,0.015
325,def_mul_pdb_5,0.015
326,def_mul_pdb_6,0.015
327,def_mul_pdb_7,0.015
328,def_mul_pdb_8,0.015
329,def_mul_pdb_9,0.015
330,def_mul_pdb70_0,0.007
331,def_mul_pdb70_1,0.007
332,def_mul_pdb70_2,0.007
333,def_mul_pdb70_3,0.007
334,def_mul_pdb70_4,0.007
335,def_mul_pdb70_5,0.007
336,def_mul_pdb70_6,0.007
337,def_mul_pdb70_7,0.007
338,def_mul_pdb70_8,0.007
339,def_mul_pdb70_9,0.007
340,def_mul_refine_0,0.017
341,def_mul_refine_1,0.017
342,def_mul_refine_2,0.017
343,def_mul_refine_3,0.017
344,def_mul_refine_4,0.017
345,def_mul_refine_5,0.017
346,def_mul_refine_6,0.017
347,def_mul_refine_7,0.017
348,def_mul_refine_8,0.017
349,def_mul_refine_9,0.017
350,def_mul_struct_0,0.064
351,def_mul_struct_1,0.064
352,def_mul_struct_2,0.064
353,def_mul_struct_3,0.064
354,def_mul_struct_4,0.064
355,def_mul_struct_5,0.064
356,def_mul_struct_6,0.064
357,def_mul_struct_7,0.064
358,def_mul_struct_8,0.064
359,def_mul_struct_9,0.064
360,def_mul_tmsearch_0,0.197
361,def_mul_tmsearch_1,0.197
362,def_mul_tmsearch_2,0.197
363,def_mul_tmsearch_3,0.197
364,def_mul_tmsearch_4,0.197
365,def_mul_tmsearch_5,0.197
366,def_mul_tmsearch_6,0.197
367,def_mul_tmsearch_7,0.197
368,def_mul_tmsearch_8,0.197
369,def_mul_tmsearch_9,0.197
370,default_multimer_0,0.009
371,default_multimer_1,0.009
372,default_multimer_2,0.009
373,default_multimer_3,0.009
374,default_multimer_4,0.009
375,default_multimer_5,0.009
376,default_multimer_6,0.009
377,default_multimer_7,0.009
378,default_multimer_8,0.009
379,default_multimer_9,0.009
380,folds_iter_1_0,0.158
381,folds_iter_1_1,0.158
382,folds_iter_1_2,0.158
383,folds_iter_1_3,0.158
384,folds_iter_1_4,0.158
385,folds_iter_1_5,0.158
386,folds_iter_1_6,0.158
387,folds_iter_1_7,0.158
388,folds_iter_1_8,0.158
389,folds_iter_1_9,0.158
390,folds_iter_2_0,0.144
391,folds_iter_2_1,0.144
392,folds_iter_2_2,0.144
393,folds_iter_2_3,0.144
394,folds_iter_2_4,0.144
395,folds_iter_2_5,0.144
396,folds_iter_2_6,0.144
397,folds_iter_2_7,0.144
398,folds_iter_2_8,0.144
399,folds_iter_2_9,0.144
400,folds_iter_esm_1_0,0.166
401,folds_iter_esm_1_1,0.166
402,folds_iter_esm_1_2,0.166
403,folds_iter_esm_1_3,0.166
404,folds_iter_esm_1_4,0.166
405,folds_iter_esm_1_5,0.166
406,folds_iter_esm_1_6,0.166
407,folds_iter_esm_1_7,0.166
408,folds_iter_esm_1_8,0.166
409,folds_iter_esm_1_9,0.166
410,folds_iter_esm_2_0,0.197
411,folds_iter_esm_2_1,0.197
412,folds_iter_esm_2_2,0.197
413,folds_iter_esm_2_3,0.197
414,folds_iter_esm_2_4,0.197
415,folds_iter_esm_2_5,0.197
416,folds_iter_esm_2_6,0.197
417,folds_iter_esm_2_7,0.197
418,folds_iter_esm_2_8,0.197
419,folds_iter_esm_2_9,0.197
420,folds_iter_esm_nop_1_0,0.198
421,folds_iter_esm_nop_1_1,0.198
422,folds_iter_esm_nop_1_2,0.198
423,folds_iter_esm_nop_1_3,0.198
424,folds_iter_esm_nop_1_4,0.198
425,folds_iter_esm_nop_1_5,0.198
426,folds_iter_esm_nop_1_6,0.198
427,folds_iter_esm_nop_1_7,0.198
428,folds_iter_esm_nop_1_8,0.198
429,folds_iter_esm_nop_1_9,0.198
430,folds_iter_esm_nop_2_0,0.182
431,folds_iter_esm_nop_2_1,0.182
432,folds_iter_esm_nop_2_2,0.182
433,folds_iter_esm_nop_2_3,0.182
434,folds_iter_esm_nop_2_4,0.182
435,folds_iter_esm_nop_2_5,0.182
436,folds_iter_esm_nop_2_6,0.182
437,folds_iter_esm_nop_2_7,0.182
438,folds_iter_esm_nop_2_8,0.182
439,folds_iter_esm_nop_2_9,0.182
440,folds_iter_esm_not_1_0,0.045
441,folds_iter_esm_not_1_1,0.045
442,folds_iter_esm_not_1_2,0.045
443,folds_iter_esm_not_1_3,0.045
444,folds_iter_esm_not_1_4,0.045
445,folds_iter_esm_not_1_5,0.045
446,folds_iter_esm_not_1_6,0.045
447,folds_iter_esm_not_1_7,0.045
448,folds_iter_esm_not_1_8,0.045
449,folds_iter_esm_not_1_9,0.045
450,folds_iter_esm_not_2_0,0.016
451,folds_iter_esm_not_2_1,0.016
452,folds_iter_esm_not_2_2,0.016
453,folds_iter_esm_not_2_3,0.016
454,folds_iter_esm_not_2_4,0.016
455,folds_iter_esm_not_2_5,0.016
456,folds_iter_esm_not_2_6,0.016
457,folds_iter_esm_not_2_7,0.016
458,folds_iter_esm_not_2_8,0.016
459,folds_iter_esm_not_2_9,0.016
460,folds_iter_esm_notp_1_0,0.019
461,folds_iter_esm_notp_1_1,0.019
462,folds_iter_esm_notp_1_2,0.019
463,folds_iter_esm_notp_1_3,0.019
464,folds_iter_esm_notp_1_4,0.019
465,folds_iter_esm_notp_1_5,0.019
466,folds_iter_esm_notp_1_6,0.019
467,folds_iter_esm_notp_1_7,0.019
468,folds_iter_esm_notp_1_8,0.019
469,folds_iter_esm_notp_1_9,0.019
470,folds_iter_esm_notp_2_0,0.022
471,folds_iter_esm_notp_2_1,0.022
472,folds_iter_esm_notp_2_2,0.022
473,folds_iter_esm_notp_2_3,0.022
474,folds_iter_esm_notp_2_4,0.022
475,folds_iter_esm_notp_2_5,0.022
476,folds_iter_esm_notp_2_6,0.022
477,folds_iter_esm_notp_2_7,0.022
478,folds_iter_esm_notp_2_8,0.022
479,folds_iter_esm_notp_2_9,0.022
480,folds_iter_nop_1_0,0.206
481,folds_iter_nop_1_1,0.206
482,folds_iter_nop_1_2,0.206
483,folds_iter_nop_1_3,0.206
484,folds_iter_nop_1_4,0.206
485,folds_iter_nop_1_5,0.206
486,folds_iter_nop_1_6,0.206
487,folds_iter_nop_1_7,0.206
488,folds_iter_nop_1_8,0.206
489,folds_iter_nop_1_9,0.206
490,folds_iter_nop_2_0,0.158
491,folds_iter_nop_2_1,0.158
492,folds_iter_nop_2_2,0.158
493,folds_iter_nop_2_3,0.158
494,folds_iter_nop_2_4,0.158
495,folds_iter_nop_2_5,0.158
496,folds_iter_nop_2_6,0.158
497,folds_iter_nop_2_7,0.158
498,folds_iter_nop_2_8,0.158
499,folds_iter_nop_2_9,0.158
500,folds_iter_not_1_0,0.225
501,folds_iter_not_1_1,0.225
502,folds_iter_not_1_2,0.225
503,folds_iter_not_1_3,0.225
504,folds_iter_not_1_4,0.225
505,folds_iter_not_1_5,0.225
506,folds_iter_not_1_6,0.225
507,folds_iter_not_1_7,0.225
508,folds_iter_not_1_8,0.225
509,folds_iter_not_1_9,0.225
510,folds_iter_not_2_0,0.197
511,folds_iter_not_2_1,0.197
512,folds_iter_not_2_2,0.197
513,folds_iter_not_2_3,0.197
514,folds_iter_not_2_4,0.197
515,folds_iter_not_2_5,0.197
516,folds_iter_not_2_6,0.197
517,folds_iter_not_2_7,0.197
518,folds_iter_not_2_8,0.197
519,folds_iter_not_2_9,0.197
520,folds_iter_notp_1_0,0.083
521,folds_iter_notp_1_1,0.083
522,folds_iter_notp_1_2,0.083
523,folds_iter_notp_1_3,0.083
524,folds_iter_notp_1_4,0.083
525,folds_iter_notp_1_5,0.083
526,folds_iter_notp_1_6,0.083
527,folds_iter_notp_1_7,0.083
528,folds_iter_notp_1_8,0.083
529,folds_iter_notp_1_9,0.083
530,folds_iter_notp_2_0,0.175
531,folds_iter_notp_2_1,0.175
532,folds_iter_notp_2_2,0.175
533,folds_iter_notp_2_3,0.175
534,folds_iter_notp_2_4,0.175
535,folds_iter_notp_2_5,0.175
536,folds_iter_notp_2_6,0.175
537,folds_iter_notp_2_7,0.175
538,folds_iter_notp_2_8,0.175
539,folds_iter_notp_2_9,0.175
540,pdb_inter_ref_sto_0,0.007
541,pdb_inter_ref_sto_1,0.007
542,pdb_inter_ref_sto_2,0.007
543,pdb_inter_ref_sto_3,0.007
544,pdb_inter_ref_sto_4,0.007
545,pdb_inter_ref_sto_5,0.007
546,pdb_inter_ref_sto_6,0.007
547,pdb_inter_ref_sto_7,0.007
548,pdb_inter_ref_sto_8,0.007
549,pdb_inter_ref_sto_9,0.007
550,spec_comp_0,0.08
551,spec_comp_1,0.08
552,spec_comp_2,0.08
553,spec_comp_3,0.08
554,spec_comp_4,0.08
555,spec_comp_5,0.08
556,spec_comp_6,0.08
557,spec_comp_7,0.08
558,spec_comp_8,0.08
559,spec_comp_9,0.08
560,spec_inter_ref_a3m_0,0.262
561,spec_inter_ref_a3m_1,0.262
562,spec_inter_ref_a3m_2,0.262
563,spec_inter_ref_a3m_3,0.262
564,spec_inter_ref_a3m_4,0.262
565,spec_inter_ref_a3m_5,0.262
566,spec_inter_ref_a3m_6,0.262
567,spec_inter_ref_a3m_7,0.262
568,spec_inter_ref_a3m_8,0.262
569,spec_inter_ref_a3m_9,0.262
570,spec_inter_ref_sto_0,0.27
571,spec_inter_ref_sto_1,0.27
572,spec_inter_ref_sto_2,0.27
573,spec_inter_ref_sto_3,0.27
574,spec_inter_ref_sto_4,0.27
575,spec_inter_ref_sto_5,0.27
576,spec_inter_ref_sto_6,0.27
577,spec_inter_ref_sto_7,0.27
578,spec_inter_ref_sto_8,0.27
