,model,tmscore
0,af3_jian_0,0.957
1,af3_jian_1,0.969
2,af3_jian_2,0.97
3,af3_jian_3,0.97
4,af3_jian_4,0.968
5,af3_jian_5,0.968
6,af3_jian_6,0.968
7,af3_jian_7,0.966
8,af3_jian_8,0.968
9,af3_jian_9,0.967
10,af3_pawan_0,0.967
11,af3_pawan_1,0.969
12,af3_pawan_2,0.969
13,af3_pawan_3,0.968
14,af3_pawan_4,0.969
15,af3_pawan_5,0.969
16,af3_pawan_6,0.968
17,af3_pawan_7,0.968
18,af3_pawan_8,0.97
19,af3_pawan_9,0.97
20,afsample_v1_0,0.968
21,afsample_v1_1,0.967
22,afsample_v1_2,0.968
23,afsample_v1_3,0.968
24,afsample_v1_4,0.968
25,afsample_v1_not_0,0.969
26,afsample_v1_not_1,0.967
27,afsample_v1_not_2,0.966
28,afsample_v1_not_3,0.968
29,afsample_v1_not_4,0.968
30,afsample_v1_r21_not_0,0.967
31,afsample_v1_r21_not_1,0.967
32,afsample_v1_r21_not_2,0.967
33,afsample_v1_r21_not_3,0.967
34,afsample_v1_r21_not_4,0.967
35,afsample_v2_0,0.97
36,afsample_v2_1,0.969
37,afsample_v2_2,0.969
38,afsample_v2_3,0.97
39,afsample_v2_4,0.969
40,afsample_v2_not_0,0.969
41,afsample_v2_not_1,0.969
42,afsample_v2_not_2,0.97
43,afsample_v2_not_3,0.97
44,afsample_v2_not_4,0.969
45,afsample_v2_r21_not_0,0.97
46,afsample_v2_r21_not_1,0.97
47,afsample_v2_r21_not_2,0.969
48,afsample_v2_r21_not_3,0.97
49,afsample_v2_r21_not_4,0.97
50,colabfold_casp16_web_0,0.964
51,colabfold_casp16_web_1,0.969
52,colabfold_casp16_web_2,0.966
53,colabfold_casp16_web_3,0.967
54,colabfold_casp16_web_4,0.969
55,colabfold_casp16_web_not_0,0.967
56,colabfold_casp16_web_not_1,0.966
57,colabfold_casp16_web_not_2,0.508
58,colabfold_casp16_web_not_3,0.965
59,colabfold_casp16_web_not_4,0.967
60,deepmsa2_0_0,0.968
61,deepmsa2_0_1,0.969
