,model,tmscore
0,af3_jian_0,0.554
1,af3_jian_1,0.556
2,af3_jian_2,0.534
3,af3_jian_3,0.53
4,af3_jian_4,0.565
5,af3_jian_5,0.522
6,af3_jian_6,0.589
7,af3_jian_7,0.524
8,af3_jian_8,0.551
9,af3_jian_9,0.536
10,af3_pawan_0,0.542
11,af3_pawan_1,0.499
12,af3_pawan_2,0.524
13,af3_pawan_3,0.536
14,af3_pawan_4,0.502
15,af3_pawan_5,0.537
16,af3_pawan_6,0.546
17,af3_pawan_7,0.576
18,af3_pawan_8,0.571
19,af3_pawan_9,0.509
20,afsample_v1_0,0.483
21,afsample_v1_1,0.199
22,afsample_v1_2,0.186
23,afsample_v1_3,0.183
24,afsample_v1_4,0.22
25,afsample_v1_not_0,0.472
26,afsample_v1_not_1,0.214
27,afsample_v1_not_2,0.209
28,afsample_v1_not_3,0.234
29,afsample_v1_not_4,0.194
30,afsample_v1_r21_not_0,0.528
31,afsample_v1_r21_not_1,0.526
32,afsample_v1_r21_not_2,0.526
33,afsample_v1_r21_not_3,0.528
34,afsample_v1_r21_not_4,0.528
35,afsample_v2_0,0.713
36,afsample_v2_1,0.715
37,afsample_v2_2,0.712
38,afsample_v2_3,0.714
39,afsample_v2_4,0.717
40,afsample_v2_not_0,0.713
41,afsample_v2_not_1,0.715
42,afsample_v2_not_2,0.717
43,afsample_v2_not_3,0.715
44,afsample_v2_not_4,0.714
45,afsample_v2_r21_not_0,0.706
46,afsample_v2_r21_not_1,0.706
47,afsample_v2_r21_not_2,0.707
48,afsample_v2_r21_not_3,0.707
49,afsample_v2_r21_not_4,0.706
50,deepmsa2_0_0,0.276
51,deepmsa2_0_1,0.276
52,deepmsa2_0_2,0.276
53,deepmsa2_0_3,0.709
54,deepmsa2_0_4,0.275
55,deepmsa2_1_0,0.275
56,deepmsa2_1_1,0.708
57,deepmsa2_1_2,0.711
58,deepmsa2_1_3,0.708
59,deepmsa2_1_4,0.276
60,deepmsa2_10_0,0.707
61,deepmsa2_10_1,0.708
62,deepmsa2_10_2,0.708
63,deepmsa2_10_3,0.708
64,deepmsa2_10_4,0.707
65,deepmsa2_11_0,0.708
66,deepmsa2_11_1,0.708
67,deepmsa2_11_2,0.707
68,deepmsa2_11_3,0.707
69,deepmsa2_11_4,0.708
70,deepmsa2_12_0,0.708
71,deepmsa2_12_1,0.707
