,model,tmscore
0,afsample_v1_0,0.836
1,afsample_v1_1,0.843
2,afsample_v1_2,0.823
3,afsample_v1_3,0.833
4,afsample_v1_4,0.834
5,afsample_v1_not_0,0.829
6,afsample_v1_not_1,0.844
7,afsample_v1_not_2,0.843
8,afsample_v1_not_3,0.833
9,afsample_v1_not_4,0.826
10,afsample_v1_r21_not_0,0.863
11,afsample_v1_r21_not_1,0.849
12,afsample_v1_r21_not_2,0.849
13,afsample_v1_r21_not_3,0.847
14,afsample_v1_r21_not_4,0.847
15,afsample_v2_0,0.892
16,afsample_v2_1,0.892
17,afsample_v2_2,0.888
18,afsample_v2_3,0.889
19,afsample_v2_4,0.895
20,afsample_v2_not_0,0.888
21,afsample_v2_not_1,0.887
22,afsample_v2_not_2,0.89
23,afsample_v2_not_3,0.892
24,afsample_v2_not_4,0.882
25,afsample_v2_r21_not_0,0.891
26,afsample_v2_r21_not_1,0.892
27,afsample_v2_r21_not_2,0.891
28,afsample_v2_r21_not_3,0.894
29,afsample_v2_r21_not_4,0.894
30,deepmsa2_0_0,0.861
31,deepmsa2_0_1,0.859
32,deepmsa2_0_2,0.861
33,deepmsa2_0_3,0.86
34,deepmsa2_0_4,0.865
35,deepmsa2_1_0,0.864
36,deepmsa2_1_1,0.858
37,deepmsa2_1_2,0.868
38,deepmsa2_1_3,0.864
39,deepmsa2_1_4,0.854
40,deepmsa2_10_0,0.87
41,deepmsa2_10_1,0.87
42,deepmsa2_10_2,0.874
43,deepmsa2_10_3,0.873
44,deepmsa2_10_4,0.852
45,deepmsa2_11_0,0.868
46,deepmsa2_11_1,0.856
47,deepmsa2_11_2,0.88
48,deepmsa2_11_3,0.872
49,deepmsa2_11_4,0.852
50,deepmsa2_12_0,0.876
51,deepmsa2_12_1,0.865
52,deepmsa2_12_2,0.87
53,deepmsa2_12_3,0.871
54,deepmsa2_12_4,0.874
55,deepmsa2_13_0,0.862
56,deepmsa2_13_1,0.868
57,deepmsa2_13_2,0.867
58,deepmsa2_13_3,0.869
59,deepmsa2_13_4,0.88
60,deepmsa2_14_0,0.857
61,deepmsa2_14_1,0.869
62,deepmsa2_14_2,0.863
63,deepmsa2_14_3,0.862
64,deepmsa2_14_4,0.874
65,deepmsa2_2_0,0.856
66,deepmsa2_2_1,0.855
67,deepmsa2_2_2,0.868
68,deepmsa2_2_3,0.868
69,deepmsa2_2_4,0.855
70,deepmsa2_3_0,0.856
71,deepmsa2_3_1,0.856
72,deepmsa2_3_2,0.856
