,model,tmscore
0,afsample_v1_0,0.69
1,afsample_v1_1,0.69
2,afsample_v1_2,0.69
3,afsample_v1_3,0.69
4,afsample_v1_4,0.69
5,afsample_v1_5,0.69
6,afsample_v1_6,0.69
7,afsample_v1_7,0.69
8,afsample_v1_8,0.69
9,afsample_v1_9,0.69
10,afsample_v1_not_0,0.715
11,afsample_v1_not_1,0.715
12,afsample_v1_not_2,0.715
13,afsample_v1_not_3,0.715
14,afsample_v1_not_4,0.715
15,afsample_v1_not_5,0.715
16,afsample_v1_not_6,0.715
17,afsample_v1_not_7,0.715
18,afsample_v1_not_8,0.715
19,afsample_v1_not_9,0.715
20,afsample_v1_r21_not_0,0.696
21,afsample_v1_r21_not_1,0.696
22,afsample_v1_r21_not_2,0.696
23,afsample_v1_r21_not_3,0.696
24,afsample_v1_r21_not_4,0.696
25,afsample_v1_r21_not_5,0.696
26,afsample_v1_r21_not_6,0.696
27,afsample_v1_r21_not_7,0.696
28,afsample_v1_r21_not_8,0.696
29,afsample_v1_r21_not_9,0.696
30,afsample_v2_0,0.727
31,afsample_v2_1,0.727
32,afsample_v2_2,0.727
33,afsample_v2_3,0.727
34,afsample_v2_4,0.727
35,afsample_v2_5,0.727
36,afsample_v2_6,0.727
37,afsample_v2_7,0.727
38,afsample_v2_8,0.727
39,afsample_v2_9,0.727
40,afsample_v2_not_0,0.727
41,afsample_v2_not_1,0.727
42,afsample_v2_not_2,0.727
43,afsample_v2_not_3,0.727
44,afsample_v2_not_4,0.727
45,afsample_v2_not_5,0.727
46,afsample_v2_not_6,0.727
47,afsample_v2_not_7,0.727
48,afsample_v2_not_8,0.727
49,afsample_v2_not_9,0.727
50,afsample_v2_r21_not_0,0.731
51,afsample_v2_r21_not_1,0.731
52,afsample_v2_r21_not_2,0.731
53,afsample_v2_r21_not_3,0.731
54,afsample_v2_r21_not_4,0.731
55,afsample_v2_r21_not_5,0.731
56,afsample_v2_r21_not_6,0.731
57,afsample_v2_r21_not_7,0.731
58,afsample_v2_r21_not_8,0.731
59,afsample_v2_r21_not_9,0.731
60,colabfold_casp16_web_0,0.781
61,colabfold_casp16_web_1,0.781
62,colabfold_casp16_web_2,0.781
63,colabfold_casp16_web_3,0.781
64,colabfold_casp16_web_4,0.781
65,colabfold_casp16_web_5,0.781
66,colabfold_casp16_web_6,0.781
67,colabfold_casp16_web_7,0.781
68,colabfold_casp16_web_8,0.781
69,colabfold_casp16_web_9,0.781
70,colabfold_casp16_web_not_0,0.521
71,colabfold_casp16_web_not_1,0.521
72,colabfold_casp16_web_not_2,0.521
73,colabfold_casp16_web_not_3,0.521
74,colabfold_casp16_web_not_4,0.521
75,colabfold_casp16_web_not_5,0.521
76,colabfold_casp16_web_not_6,0.521
77,colabfold_casp16_web_not_7,0.521
78,colabfold_casp16_web_not_8,0.521
79,colabfold_casp16_web_not_9,0.521
80,def_mul_drop_nos_0,0.738
81,def_mul_drop_nos_1,0.738
82,def_mul_drop_nos_2,0.738
83,def_mul_drop_nos_3,0.738
84,def_mul_drop_nos_4,0.738
85,def_mul_drop_nos_5,0.738
86,def_mul_drop_nos_6,0.738
87,def_mul_drop_nos_7,0.738
88,def_mul_drop_nos_8,0.738
89,def_mul_drop_nos_9,0.738
90,def_mul_drop_s_0,0.748
91,def_mul_drop_s_1,0.748
92,def_mul_drop_s_2,0.748
93,def_mul_drop_s_3,0.748
94,def_mul_drop_s_4,0.748
95,def_mul_drop_s_5,0.748
96,def_mul_drop_s_6,0.748
97,def_mul_drop_s_7,0.748
98,def_mul_drop_s_8,0.748
99,def_mul_drop_s_9,0.748
100,def_mul_not_drop_nos_0,0.502
101,def_mul_not_drop_nos_1,0.502
102,def_mul_not_drop_nos_2,0.502
103,def_mul_not_drop_nos_3,0.502
104,def_mul_not_drop_nos_4,0.502
105,def_mul_not_drop_nos_5,0.502
106,def_mul_not_drop_nos_6,0.502
107,def_mul_not_drop_nos_7,0.502
108,def_mul_not_drop_nos_8,0.502
109,def_mul_not_drop_nos_9,0.502
110,def_mul_not_drop_s_0,0.665
111,def_mul_not_drop_s_1,0.665
112,def_mul_not_drop_s_2,0.665
113,def_mul_not_drop_s_3,0.665
114,def_mul_not_drop_s_4,0.665
115,def_mul_not_drop_s_5,0.665
116,def_mul_not_drop_s_6,0.665
117,def_mul_not_drop_s_7,0.665
118,def_mul_not_drop_s_8,0.665
119,def_mul_not_drop_s_9,0.665
120,def_mul_notemp_0,0.512
121,def_mul_notemp_1,0.512
122,def_mul_notemp_2,0.512
123,def_mul_notemp_3,0.512
124,def_mul_notemp_4,0.512
125,def_mul_notemp_5,0.512
126,def_mul_notemp_6,0.512
127,def_mul_notemp_7,0.512
128,def_mul_notemp_8,0.512
129,def_mul_notemp_9,0.512
130,default_multimer_0,0.748
131,default_multimer_1,0.748
132,default_multimer_2,0.748
133,default_multimer_3,0.748
134,default_multimer_4,0.748
135,default_multimer_5,0.748
136,default_multimer_6,0.748
137,default_multimer_7,0.748
138,default_multimer_8,0.748
139,default_multimer_9,0.748
