,model,tmscore
0,af3_jian_0,0.62
1,af3_jian_1,0.626
2,af3_jian_2,0.625
3,af3_jian_3,0.627
4,af3_jian_4,0.623
5,af3_jian_5,0.626
6,af3_jian_6,0.897
7,af3_jian_7,0.618
8,af3_jian_8,0.629
9,af3_jian_9,0.626
10,af3_pawan_0,0.62
11,af3_pawan_1,0.614
12,af3_pawan_2,0.626
13,af3_pawan_3,0.615
14,af3_pawan_4,0.617
15,af3_pawan_5,0.628
16,af3_pawan_6,0.628
17,af3_pawan_7,0.628
18,af3_pawan_8,0.625
19,af3_pawan_9,0.622
20,afsample_v1_0,0.648
21,afsample_v1_1,0.651
22,afsample_v1_2,0.647
23,afsample_v1_3,0.649
24,afsample_v1_4,0.644
25,afsample_v1_not_0,0.649
26,afsample_v1_not_1,0.648
27,afsample_v1_not_2,0.639
28,afsample_v1_not_3,0.646
29,afsample_v1_not_4,0.648
30,afsample_v1_r21_not_0,0.646
31,afsample_v1_r21_not_1,0.646
32,afsample_v1_r21_not_2,0.646
33,afsample_v1_r21_not_3,0.646
34,afsample_v1_r21_not_4,0.648
35,afsample_v2_0,0.621
36,afsample_v2_1,0.634
37,afsample_v2_2,0.631
38,afsample_v2_3,0.64
39,afsample_v2_4,0.641
40,afsample_v2_not_0,0.623
41,afsample_v2_not_1,0.627
42,afsample_v2_not_2,0.623
43,afsample_v2_not_3,0.627
44,afsample_v2_not_4,0.635
45,afsample_v2_r21_not_0,0.625
46,afsample_v2_r21_not_1,0.641
47,afsample_v2_r21_not_2,0.645
48,afsample_v2_r21_not_3,0.64
49,afsample_v2_r21_not_4,0.61
50,colabfold_casp16_web_0,0.642
51,colabfold_casp16_web_1,0.649
52,colabfold_casp16_web_2,0.643
53,colabfold_casp16_web_3,0.642
54,colabfold_casp16_web_4,0.646
55,colabfold_casp16_web_not_0,0.638
56,colabfold_casp16_web_not_1,0.644
57,colabfold_casp16_web_not_2,0.648
58,colabfold_casp16_web_not_3,0.644
59,colabfold_casp16_web_not_4,0.651
60,deepmsa2_0_0,0.649
61,deepmsa2_0_1,0.663
62,deepmsa2_0_2,0.646
63,deepmsa2_0_3,0.644
64,deepmsa2_0_4,0.664
65,deepmsa2_1_0,0.639
66,deepmsa2_1_1,0.655
67,deepmsa2_1_2,0.642
68,deepmsa2_1_3,0.664
69,deepmsa2_1_4,0.65
70,deepmsa2_10_0,0.642
71,deepmsa2_10_1,0.636
72,deepmsa2_10_2,0.641
73,deepmsa2_10_3,0.64
74,deepmsa2_10_4,0.643
75,deepmsa2_11_0,0.643
76,deepmsa2_11_1,0.637
77,deepmsa2_11_2,0.639
78,deepmsa2_11_3,0.641
79,deepmsa2_11_4,0.645
80,deepmsa2_12_0,0.642
81,deepmsa2_12_1,0.639
82,deepmsa2_12_2,0.643
83,deepmsa2_12_3,0.639
84,deepmsa2_12_4,0.642
85,deepmsa2_13_0,0.647
86,deepmsa2_13_1,0.643
87,deepmsa2_13_2,0.641
88,deepmsa2_13_3,0.64
89,deepmsa2_13_4,0.641
90,deepmsa2_14_0,0.641
91,deepmsa2_14_1,0.641
92,deepmsa2_14_2,0.64
93,deepmsa2_14_3,0.638
94,deepmsa2_14_4,0.643
95,deepmsa2_2_0,0.642
96,deepmsa2_2_1,0.656
97,deepmsa2_2_2,0.644
98,deepmsa2_2_3,0.662
99,deepmsa2_2_4,0.641
100,deepmsa2_3_0,0.659
101,deepmsa2_3_1,0.66
102,deepmsa2_3_2,0.642
103,deepmsa2_3_3,0.644
104,deepmsa2_3_4,0.666
105,deepmsa2_4_0,0.653
106,deepmsa2_4_1,0.66
107,deepmsa2_4_2,0.65
108,deepmsa2_4_3,0.641
109,deepmsa2_4_4,0.642
110,deepmsa2_5_0,0.638
111,deepmsa2_5_1,0.639
112,deepmsa2_5_2,0.663
113,deepmsa2_5_3,0.64
114,deepmsa2_5_4,0.64
115,deepmsa2_6_0,0.644
116,deepmsa2_6_1,0.643
117,deepmsa2_6_2,0.644
118,deepmsa2_6_3,0.641
119,deepmsa2_6_4,0.643
120,deepmsa2_7_0,0.642
121,deepmsa2_7_1,0.644
122,deepmsa2_7_2,0.641
123,deepmsa2_7_3,0.643
124,deepmsa2_7_4,0.642
125,deepmsa2_8_0,0.638
126,deepmsa2_8_1,0.642
127,deepmsa2_8_2,0.642
128,deepmsa2_8_3,0.64
129,deepmsa2_8_4,0.644
130,deepmsa2_9_0,0.643
131,deepmsa2_9_1,0.641
132,deepmsa2_9_2,0.646
133,deepmsa2_9_3,0.644
134,deepmsa2_9_4,0.639
135,def_mul_comp_0,0.649
136,def_mul_comp_1,0.642
137,def_mul_comp_2,0.638
138,def_mul_comp_3,0.639
139,def_mul_comp_4,0.642
140,def_mul_drop_nos_0,0.646
141,def_mul_drop_nos_1,0.647
142,def_mul_drop_nos_2,0.649
143,def_mul_drop_nos_3,0.649
144,def_mul_drop_nos_4,0.646
145,def_mul_drop_s_0,0.647
146,def_mul_drop_s_1,0.645
147,def_mul_drop_s_2,0.647
148,def_mul_drop_s_3,0.644
149,def_mul_drop_s_4,0.651
150,def_mul_esm_msa_0,0.638
151,def_mul_esm_msa_1,0.641
152,def_mul_esm_msa_2,0.641
153,def_mul_esm_msa_3,0.637
154,def_mul_esm_msa_4,0.642
155,def_mul_not_drop_nos_0,0.646
156,def_mul_not_drop_nos_1,0.646
157,def_mul_not_drop_nos_2,0.927
158,def_mul_not_drop_nos_3,0.647
159,def_mul_not_drop_nos_4,0.642
160,def_mul_not_drop_s_0,0.64
161,def_mul_not_drop_s_1,0.64
162,def_mul_not_drop_s_2,0.645
163,def_mul_not_drop_s_3,0.647
164,def_mul_not_drop_s_4,0.647
165,def_mul_notemp_0,0.642
166,def_mul_notemp_1,0.64
167,def_mul_notemp_2,0.643
168,def_mul_notemp_3,0.639
169,def_mul_notemp_4,0.638
170,def_mul_pdb_0,0.649
171,def_mul_pdb_1,0.647
172,def_mul_pdb_2,0.649
173,def_mul_pdb_3,0.649
174,def_mul_pdb_4,0.647
175,def_mul_pdb70_0,0.641
176,def_mul_pdb70_1,0.64
177,def_mul_pdb70_2,0.642
178,def_mul_pdb70_3,0.64
179,def_mul_pdb70_4,0.638
180,def_mul_struct_0,0.643
181,def_mul_struct_1,0.636
182,def_mul_struct_2,0.643
183,def_mul_struct_3,0.636
184,def_mul_struct_4,0.637
185,default_multimer_0,0.648
186,default_multimer_1,0.641
187,default_multimer_2,0.644
188,default_multimer_3,0.642
189,default_multimer_4,0.643
190,folds_iter_1_0,0.634
191,folds_iter_1_1,0.635
192,folds_iter_1_2,0.637
193,folds_iter_1_3,0.631
194,folds_iter_1_4,0.639
195,folds_iter_2_0,0.643
196,folds_iter_2_1,0.638
197,folds_iter_2_2,0.631
198,folds_iter_2_3,0.65
199,folds_iter_2_4,0.637
200,folds_iter_esm_1_0,0.639
201,folds_iter_esm_1_1,0.637
202,folds_iter_esm_1_2,0.637
203,folds_iter_esm_1_3,0.637
204,folds_iter_esm_1_4,0.645
205,folds_iter_esm_2_0,0.638
206,folds_iter_esm_2_1,0.634
207,folds_iter_esm_2_2,0.636
208,folds_iter_esm_2_3,0.644
209,folds_iter_esm_2_4,0.637
210,folds_iter_esm_not_1_0,0.644
211,folds_iter_esm_not_1_1,0.642
212,folds_iter_esm_not_1_2,0.637
213,folds_iter_esm_not_1_3,0.639
214,folds_iter_esm_not_1_4,0.638
215,folds_iter_esm_not_2_0,0.64
216,folds_iter_esm_not_2_1,0.639
217,folds_iter_esm_not_2_2,0.638
218,folds_iter_esm_not_2_3,0.641
219,folds_iter_esm_not_2_4,0.645
220,folds_iter_esm_o_1_0,0.638
221,folds_iter_esm_o_1_1,0.641
222,folds_iter_esm_o_1_2,0.642
223,folds_iter_esm_o_1_3,0.637
224,folds_iter_esm_o_1_4,0.637
225,folds_iter_esm_o_2_0,0.639
226,folds_iter_esm_o_2_1,0.637
227,folds_iter_esm_o_2_2,0.637
228,folds_iter_esm_o_2_3,0.637
229,folds_iter_esm_o_2_4,0.637
230,folds_iter_esm_o_not_1_0,0.641
231,folds_iter_esm_o_not_1_1,0.638
232,folds_iter_esm_o_not_1_2,0.637
233,folds_iter_esm_o_not_1_3,0.641
234,folds_iter_esm_o_not_1_4,0.638
235,folds_iter_esm_o_not_2_0,0.64
236,folds_iter_esm_o_not_2_1,0.643
237,folds_iter_esm_o_not_2_2,0.64
238,folds_iter_esm_o_not_2_3,0.636
239,folds_iter_esm_o_not_2_4,0.637
240,folds_iter_not_1_0,0.64
241,folds_iter_not_1_1,0.641
242,folds_iter_not_1_2,0.641
243,folds_iter_not_1_3,0.636
244,folds_iter_not_1_4,0.642
245,folds_iter_not_2_0,0.645
246,folds_iter_not_2_1,0.639
247,folds_iter_not_2_2,0.634
248,folds_iter_not_2_3,0.636
249,folds_iter_not_2_4,0.885
250,folds_iter_o_1_0,0.624
251,folds_iter_o_1_1,0.64
252,folds_iter_o_1_2,0.64
253,folds_iter_o_1_3,0.636
254,folds_iter_o_1_4,0.638
255,folds_iter_o_2_0,0.626
256,folds_iter_o_2_1,0.641
257,folds_iter_o_2_2,0.639
258,folds_iter_o_2_3,0.639
259,folds_iter_o_2_4,0.637
260,folds_iter_o_not_1_0,0.643
261,folds_iter_o_not_1_1,0.64
262,folds_iter_o_not_1_2,0.639
263,folds_iter_o_not_1_3,0.637
264,folds_iter_o_not_1_4,0.642
265,folds_iter_o_not_2_0,0.648
266,folds_iter_o_not_2_1,0.632
267,folds_iter_o_not_2_2,0.639
268,folds_iter_o_not_2_3,0.637
269,folds_iter_o_not_2_4,0.641
270,pdb_inter_prot_sto_0,0.639
271,pdb_inter_prot_sto_1,0.943
272,pdb_inter_prot_sto_2,0.64
273,pdb_inter_prot_sto_3,0.641
274,pdb_inter_prot_sto_4,0.641
275,pdb_inter_ref_a3m_0,0.623
276,pdb_inter_ref_a3m_1,0.62
277,pdb_inter_ref_a3m_2,0.926
278,pdb_inter_ref_a3m_3,0.938
279,pdb_inter_ref_a3m_4,0.924
280,pdb_inter_ref_sto_0,0.64
281,pdb_inter_ref_sto_1,0.641
282,pdb_inter_ref_sto_2,0.64
283,pdb_inter_ref_sto_3,0.941
284,pdb_inter_ref_sto_4,0.641
285,spec_comp_0,0.62
286,spec_comp_1,0.633
287,spec_comp_2,0.634
288,spec_comp_3,0.637
289,spec_comp_4,0.636
290,spec_inter_prot_sto_0,0.651
291,spec_inter_prot_sto_1,0.652
292,spec_inter_prot_sto_2,0.647
293,spec_inter_prot_sto_3,0.653
294,spec_inter_prot_sto_4,0.653
295,spec_inter_ref_a3m_0,0.635
296,spec_inter_ref_a3m_1,0.639
297,spec_inter_ref_a3m_2,0.634
298,spec_inter_ref_a3m_3,0.637
299,spec_inter_ref_a3m_4,0.637
300,spec_inter_ref_sto_0,0.657
301,spec_inter_ref_sto_1,0.656
302,spec_inter_ref_sto_2,0.654
303,spec_inter_ref_sto_3,0.652
304,spec_inter_ref_sto_4,0.66
305,spec_pdb_0,0.635
306,spec_pdb_1,0.634
307,spec_pdb_2,0.636
308,spec_pdb_3,0.637
309,spec_pdb_4,0.637
310,spec_pdb70_0,0.637
311,spec_pdb70_1,0.636
312,spec_pdb70_2,0.636
313,spec_pdb70_3,0.636
314,spec_pdb70_4,0.635
315,spec_struct_0,0.633
316,spec_struct_1,0.636
317,spec_struct_2,0.638
318,spec_struct_3,0.637
319,spec_struct_4,0.639
320,uniclust_ox_a3m_0,0.641
321,uniclust_ox_a3m_1,0.649
322,uniclust_ox_a3m_2,0.641
323,uniclust_ox_a3m_3,0.641
324,uniclust_ox_a3m_4,0.659
